Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-1,0,-6,87744795868639E-06,
2,0,12047718,-0,98,-6,77819480188191E-06,
3,0,2408997,-0,96,-6,58638782624621E-06,
4,0,36133818,-0,94,-6,39788049738854E-06,
5,0,4817495,-0,92,-6,21729668637272E-06,
6,0,60218544,-0,9,-5,97899634158239E-06,
7,0,72262064,-0,88,-5,78664003114682E-06,
8,0,84307554,-0,86,-5,61343404115178E-06,
9,0,96351734,-0,84,-5,42018278792966E-06,
10,1,0839701,-0,82,-5,27447446074802E-06,
11,1,204403,-0,8,-5,10075551574118E-06,
12,1,324838,-0,78,-4,92273466079496E-06,
13,1,4452857,-0,76,-4,76478999189567E-06,
14,1,56572526,-0,74,-4,59218244941439E-06,
15,1,68617934,-0,72,-4,44038414570969E-06,
16,1,80660572,-0,7,-4,29383362643421E-06,
17,1,927059,-0,68,-4,1186431189999E-06,
18,2,04748564,-0,66,-3,98126212530769E-06,
19,2,16794584,-0,64,-3,8322414184222E-06,
20,2,28836398,-0,62,-3,67584470950533E-06,
21,2,40879792,-0,6,-3,52268762071617E-06,
22,2,52922762,-0,58,-3,38416612066794E-06,
23,2,64968158,-0,56,-3,25241853715852E-06,
24,2,7701198,-0,54,-3,12430165649857E-06,
25,2,89056416,-0,52,-3,00229294225574E-06,
26,3,01100438,-0,5,-2,87377406493761E-06,
27,3,13146154,-0,48,-2,74824924417771E-06,
28,3,25189634,-0,46,-2,62546200247016E-06,
29,3,37234762,-0,44,-2,47326170210727E-06,
30,3,49277122,-0,42,-2,36703453992959E-06,
31,3,61322908,-0,4,-2,23688766709529E-06,
32,3,73365844,-0,38,-2,10589860216714E-06,
33,3,85410288,-0,36,-1,99434362002648E-06,
34,3,97454384,-0,34,-1,86865327123087E-06,
35,4,09499972,-0,32,-1,75465720531065E-06,
36,4,21544478,-0,3,-1,65510573424399E-06,
37,4,33589608,-0,28,-1,52907341544051E-06,
38,4,45631408,-0,26,-1,41657983476762E-06,
39,4,57674232,-0,24,-1,30096850625705E-06,
40,4,69719614,-0,22,-1,19058677228168E-06,
41,4,8176202,-0,2,-1,08286258182488E-06,
42,5,04203418,-0,18,-9,8065515885537E-07,
43,5,17722306,-0,16,-8,70530811880599E-07,
44,5,31238196,-0,14,-7,62832542022807E-07,
45,5,44754494,-0,12,-6,54998530080775E-07,
46,5,58270692,-0,1,-5,46983301319415E-07,
47,5,71788418,-0,08,-4,37905100625358E-07,
48,5,85306306,-0,06,-3,3083779271692E-07,
49,5,98821062,-0,04,-2,21856680582277E-07,
50,6,12338154,-0,02,-1,13114765554201E-07,
51,6,40002782,0,0,-2,32648744713515E-09,
52,7,03648702,0,02,1,08597646431008E-07,
53,7,17167798,0,04,2,21488335228059E-07,
54,7,30683626,0,06,3,36827724822797E-07,
55,7,4420255,0,08,4,53208485851064E-07,
56,7,57719166,0,1,5,68419636692852E-07,
57,7,71236696,0,12,6,8867495883751E-07,
58,7,84753102,0,14,8,06446792012139E-07,
59,7,9827028,0,16,9,22433628147701E-07,
60,8,11787226,0,18,1,04180071502924E-06,
61,8,44409466,0,2,1,17417403089348E-06,
62,8,56456358,0,22,1,3004791981075E-06,
63,8,68500988,0,24,1,43079523695633E-06,
64,8,80543402,0,26,1,55788620759267E-06,
65,8,92588836,0,28,1,69380655279383E-06,
66,9,04632398,0,3,1,82258008862846E-06,
67,9,16677246,0,32,1,95284337678459E-06,
68,9,28721008,0,34,2,09118479688186E-06,
69,9,40765236,0,36,2,23570896196179E-06,
70,9,5280716,0,38,2,37463609664701E-06,
71,9,64852184,0,4,2,52757672569714E-06,
72,9,76895676,0,42,2,68561234406661E-06,
73,9,88939926,0,44,2,83415829471778E-06,
74,10,0098258,0,46,2,98967097478453E-06,
75,10,13027168,0,48,3,15041143039707E-06,
76,10,25070614,0,5,3,30820876115467E-06,
77,10,37117116,0,52,3,48151297657751E-06,
78,10,49159914,0,54,3,64845982403494E-06,
79,10,6120431,0,56,3,81404061045032E-06,
80,10,73246444,0,58,3,99796954297926E-06,
81,10,85290678,0,6,4,1775856516324E-06,
82,10,97334648,0,62,4,35083711636253E-06,
83,11,09379104,0,64,4,53569191449787E-06,
84,11,21422692,0,66,4,70340546598891E-06,
85,11,3346435,0,68,4,89655212732032E-06,
86,11,45507916,0,7,5,08574703417253E-06,
87,11,57550354,0,72,5,26706662640208E-06,
88,11,69593846,0,74,5,45712555322098E-06,
89,11,81637992,0,76,5,63084995519603E-06,
90,11,93682942,0,78,5,83801920583937E-06,
91,12,05727226,0,8,6,03045282332459E-06,
92,12,17772414,0,82,6,24218409939203E-06,
93,12,29815934,0,84,6,44427382212598E-06,
94,12,41859832,0,86,6,66729465592653E-06,
95,12,53902272,0,88,6,88674481352791E-06,
96,12,6594908,0,9,7,08733477949863E-06,
97,12,7799311,0,92,7,30538704374339E-06,
98,12,90039492,0,94,7,4916542871506E-06,
99,13,02081118,0,96,7,71997110859957E-06,
100,13,14126656,0,98,7,95687992649619E-06,
101,13,26170096,1,0,8,19072465674253E-06,
