Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,1,-1,0,-1,91898288903758E-05,
2,0,12047764,-0,98,-1,86328979907557E-05,
3,0,24092272,-0,96,-1,80429487954825E-05,
4,0,3613519,-0,94,-1,74723681993783E-05,
5,0,48179318,-0,92,-1,68983970070258E-05,
6,0,60223228,-0,9,-1,63396325660869E-05,
7,0,72268416,-0,88,-1,57810427481309E-05,
8,0,8431155,-0,86,-1,52349239215255E-05,
9,0,96355662,-0,84,-1,47888349601999E-05,
10,1,08398578,-0,82,-1,42113276524469E-05,
11,1,20442934,-0,8,-1,37238384922966E-05,
12,1,32486734,-0,78,-1,32580462377518E-05,
13,1,44530678,-0,76,-1,27786479424685E-05,
14,1,56573984,-0,74,-1,23011413961649E-05,
15,1,68618152,-0,72,-1,18465977720916E-05,
16,1,80661216,-0,7,-1,14307476906106E-05,
17,1,92706296,-0,68,-1,09969114419073E-05,
18,2,04747438,-0,66,-1,0600226232782E-05,
19,2,16791818,-0,64,-1,02048506960273E-05,
20,2,38832074,-0,62,-9,79840115178376E-06,
21,2,50878802,-0,6,-9,38883567869198E-06,
22,2,62921706,-0,58,-9,00542363524437E-06,
23,2,74966878,-0,56,-8,60944055602886E-06,
24,2,8701008,-0,54,-8,24341623228975E-06,
25,2,99053888,-0,52,-7,86839154898189E-06,
26,3,11098006,-0,5,-7,53082531446125E-06,
27,3,23141408,-0,48,-7,14993984729517E-06,
28,3,35183544,-0,46,-6,78996366332285E-06,
29,3,47228234,-0,44,-6,43776547804009E-06,
30,3,59272434,-0,42,-6,09114977123681E-06,
31,3,71315858,-0,4,-5,76012826059014E-06,
32,3,83359682,-0,38,-5,44499016541522E-06,
33,3,95403602,-0,36,-5,11576035933103E-06,
34,4,07446824,-0,34,-4,79923073726241E-06,
35,4,19490224,-0,32,-4,49234175903257E-06,
36,4,31532088,-0,3,-4,18456693296321E-06,
37,4,43577484,-0,28,-3,8876969483681E-06,
38,4,55620228,-0,26,-3,59272235073149E-06,
39,4,67663366,-0,24,-3,29532849718817E-06,
40,4,79705966,-0,22,-3,00714236800559E-06,
41,4,91748614,-0,2,-2,71797034656629E-06,
42,5,0379313,-0,18,-2,43850263359491E-06,
43,5,15837502,-0,16,-2,15620275412221E-06,
44,5,2788263,-0,14,-1,88030207937118E-06,
45,5,39926812,-0,12,-1,60346644406673E-06,
46,5,5197108,-0,1,-1,33447247208096E-06,
47,5,64013946,-0,08,-1,06552397483028E-06,
48,5,86455804,-0,06,-7,96047061157878E-07,
49,5,99976092,-0,04,-5,29722910869168E-07,
50,6,1349318,-0,02,-2,65061089521623E-07,
51,6,41159574,0,0,-7,90592480370833E-10,
52,7,04805018,0,02,2,6118118512386E-07,
53,7,18324952,0,04,5,22912046108104E-07,
54,7,31842252,0,06,7,82816186983837E-07,
55,7,45358506,0,08,1,04533455669298E-06,
56,7,77980808,0,1,1,30309126689099E-06,
57,7,90027332,0,12,1,5670320863137E-06,
58,8,02072074,0,14,1,8319879018236E-06,
59,8,14114894,0,16,2,1008472685935E-06,
60,8,26159816,0,18,2,36679079534952E-06,
61,8,38202194,0,2,2,6310772227589E-06,
62,8,5024732,0,22,2,90010939352214E-06,
63,8,62291812,0,24,3,17262492899317E-06,
64,8,7433648,0,26,3,4391905501252E-06,
65,8,8637986,0,28,3,70182715414558E-06,
66,8,9842551,0,3,3,98077099816874E-06,
67,9,10470004,0,32,4,25300095230341E-06,
68,9,22515332,0,34,4,53686698165257E-06,
69,9,34559328,0,36,4,81376901007025E-06,
70,9,46604128,0,38,5,09550682181725E-06,
71,9,58646148,0,4,5,37474716111319E-06,
72,9,7069175,0,42,5,67579809285235E-06,
73,9,82734134,0,44,5,97136568103451E-06,
74,9,94778946,0,46,6,2681738199899E-06,
75,10,06822184,0,48,6,57005875837058E-06,
76,10,18865998,0,5,6,87608826410724E-06,
77,10,30909802,0,52,7,18897354090586E-06,
78,10,42951984,0,54,7,50305844121613E-06,
79,10,5499627,0,56,7,83333598519675E-06,
80,10,67040396,0,58,8,15667044662405E-06,
81,10,79084846,0,6,8,46140665089479E-06,
82,10,91128494,0,62,8,7831622295198E-06,
83,11,03173144,0,64,9,12155519472435E-06,
84,11,1521729,0,66,9,44781550060725E-06,
85,11,27262454,0,68,9,78946809482295E-06,
86,11,39307064,0,7,1,01387813629117E-05,
87,11,51352514,0,72,1,04984319477808E-05,
88,11,82028422,0,74,1,08580279629678E-05,
89,11,94075776,0,76,1,12174893729389E-05,
90,12,06119588,0,78,1,15660077426583E-05,
91,12,18164028,0,8,1,193379284814E-05,
92,12,30208542,0,82,1,23171485029161E-05,
93,12,42251452,0,84,1,26723316498101E-05,
94,12,54296508,0,86,1,31052656797692E-05,
95,12,66339856,0,88,1,34727015392855E-05,
96,12,78385202,0,9,1,38586183311418E-05,
97,12,9043053,0,92,1,42635981319472E-05,
98,13,0247367,0,94,1,46431411849335E-05,
99,13,14516692,0,96,1,50559062603861E-05,
100,13,26560284,0,98,1,54785084305331E-05,
101,13,38604776,1,0,1,58685725182295E-05,
