Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-1,0,-1,70795392477885E-05,
2,0,12047718,-0,98,-1,6577250789851E-05,
3,0,24093004,-0,96,-1,61417410708964E-05,
4,0,36136598,-0,94,-1,56846217578277E-05,
5,0,48182416,-0,92,-1,52265129145235E-05,
6,0,60224286,-0,9,-1,47679238580167E-05,
7,0,72269358,-0,88,-1,44101504702121E-05,
8,0,84312592,-0,86,-1,40000047395006E-05,
9,0,9635784,-0,84,-1,35762529680505E-05,
10,1,08400706,-0,82,-1,31698907352984E-05,
11,1,20445138,-0,8,-1,28283718368039E-05,
12,1,32488014,-0,78,-1,23867357615381E-05,
13,1,44533174,-0,76,-1,205773151014E-05,
14,1,56575614,-0,74,-1,16647279355675E-05,
15,1,68619438,-0,72,-1,13077840069309E-05,
16,1,80662612,-0,7,-1,0963820386678E-05,
17,1,92707064,-0,68,-1,05678336694837E-05,
18,2,04749866,-0,66,-1,0215982911177E-05,
19,2,26791246,-0,64,-9,85593214863911E-06,
20,2,38836064,-0,62,-9,51180118136108E-06,
21,2,50880206,-0,6,-9,12882387638092E-06,
22,2,62923652,-0,58,-8,81232517713215E-06,
23,2,7496746,-0,56,-8,4302209870657E-06,
24,2,87012202,-0,54,-8,10986603028141E-06,
25,2,9905781,-0,52,-7,8061693784548E-06,
26,3,11100898,-0,5,-7,47463673178572E-06,
27,3,23145538,-0,48,-7,14624547981657E-06,
28,3,35188464,-0,46,-6,79443473927677E-06,
29,3,47233784,-0,44,-6,4594187278999E-06,
30,3,59275776,-0,42,-6,12354051554576E-06,
31,3,71321748,-0,4,-5,81906715524383E-06,
32,3,8336524,-0,38,-5,52032179257367E-06,
33,3,9540863,-0,36,-5,19691457157023E-06,
34,4,0745086,-0,34,-4,90219645143952E-06,
35,4,19497032,-0,32,-4,57628993899561E-06,
36,4,31540338,-0,3,-4,28887324233074E-06,
37,4,43584658,-0,28,-3,99179771193303E-06,
38,4,55625538,-0,26,-3,67746179108508E-06,
39,4,67671236,-0,24,-3,39659709425177E-06,
40,4,79713808,-0,22,-3,10408722725697E-06,
41,4,91757668,-0,2,-2,82008295471314E-06,
42,5,0379996,-0,18,-2,53479811362922E-06,
43,5,15845438,-0,16,-2,24020004679915E-06,
44,5,27889202,-0,14,-1,96747532754671E-06,
45,5,39934386,-0,12,-1,69072700373363E-06,
46,5,51978296,-0,1,-1,40509109769482E-06,
47,5,64022994,-0,08,-1,1278589227004E-06,
48,5,8646656,-0,06,-8,48583340484765E-07,
49,5,99987448,-0,04,-5,67290499020601E-07,
50,6,13504382,-0,02,-2,83521330857184E-07,
51,6,41171674,0,0,2,47767673045018E-09,
52,7,04815474,0,02,2,92057279693836E-07,
53,7,18335416,0,04,5,88436250836821E-07,
54,7,31850292,0,06,8,85839995135029E-07,
55,7,64471782,0,08,1,19407377496827E-06,
56,7,76521188,0,1,1,51044332596939E-06,
57,7,88564054,0,12,1,83084193849936E-06,
58,8,00609696,0,14,2,16208900383208E-06,
59,8,1265133,0,16,2,50595076067839E-06,
60,8,24696626,0,18,2,84641100734007E-06,
61,8,36739982,0,2,3,20879007631447E-06,
62,8,48784736,0,22,3,58184479409829E-06,
63,8,6082722,0,24,3,94908238376956E-06,
64,8,72871874,0,26,4,34956746175885E-06,
65,8,8491581,0,28,4,74161060992628E-06,
66,8,96960136,0,3,5,165604306967E-06,
67,9,0900363,0,32,5,59223190066405E-06,
68,9,2104698,0,34,6,03218995820498E-06,
69,9,3308989,0,36,6,50067613605643E-06,
70,9,45134372,0,38,6,96411643730244E-06,
71,9,57177402,0,4,7,46634941606317E-06,
72,9,69223744,0,42,7,95479991211323E-06,
73,9,8126768,0,44,8,46890543471091E-06,
74,9,93311952,0,46,9,00269878911786E-06,
75,10,05355344,0,48,9,53301150730113E-06,
76,10,17401318,0,5,1,0092900993186E-05,
77,10,48078244,0,52,1,06694496935233E-05,
78,10,60126322,0,54,1,12064444692805E-05,
79,10,72171766,0,56,1,18208990897983E-05,
80,10,8421537,0,58,1,24062207760289E-05,
81,10,96260306,0,6,1,29923864733428E-05,
82,11,08302378,0,62,1,36503949761391E-05,
83,11,20347564,0,64,1,42428179970011E-05,
84,11,32389376,0,66,1,4900928363204E-05,
85,11,4443289,0,68,1,55305751832202E-05,
86,11,56475074,0,7,1,62185460794717E-05,
87,11,68519394,0,72,1,68973347172141E-05,
88,11,80562738,0,74,1,75651075551286E-05,
89,11,92607286,0,76,1,82680669240654E-05,
90,12,04649798,0,78,1,89896818483248E-05,
91,12,16693408,0,8,1,97393965208903E-05,
92,12,28735202,0,82,2,04957614187151E-05,
93,12,40778648,0,84,2,1240339265205E-05,
94,12,52822612,0,86,2,19960347749293E-05,
95,12,64866006,0,88,2,27419222937897E-05,
96,12,76910556,0,9,2,35431361943483E-05,
97,12,88954116,0,92,2,43331742240116E-05,
98,13,00998836,0,94,2,50978191616014E-05,
99,13,13040952,0,96,2,58607469731942E-05,
100,13,25086246,0,98,2,66636197920889E-05,
101,13,37128988,1,0,2,75329512078315E-05,
