Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-1,0,-3,06615111185238E-05,
2,0,1204788,-0,98,-2,91617470793426E-05,
3,0,24092808,-0,96,-2,81360844383016E-05,
4,0,36135718,-0,94,-2,71507597062737E-05,
5,0,48179548,-0,92,-2,63360707322136E-05,
6,0,60223768,-0,9,-2,54060869337991E-05,
7,0,72269044,-0,88,-2,45810660999268E-05,
8,0,84312804,-0,86,-2,38421926042065E-05,
9,0,9635805,-0,84,-2,3130836780183E-05,
10,1,0840265,-0,82,-2,24217073991895E-05,
11,1,2044657,-0,8,-2,17124761547893E-05,
12,1,32490532,-0,78,-2,10814760066569E-05,
13,1,4453582,-0,76,-2,03258823603392E-05,
14,1,56578478,-0,74,-1,96823675651103E-05,
15,1,68623768,-0,72,-1,90414866665378E-05,
16,1,80666832,-0,7,-1,83485390152782E-05,
17,1,9271159,-0,68,-1,7708822269924E-05,
18,2,04753724,-0,66,-1,70817511389032E-05,
19,2,16799124,-0,64,-1,64515222422779E-05,
20,2,28841514,-0,62,-1,57836475409567E-05,
21,2,40884752,-0,6,-1,51808344526216E-05,
22,2,52929926,-0,58,-1,45968806464225E-05,
23,2,6497437,-0,56,-1,4036035281606E-05,
24,2,77019186,-0,54,-1,35011214297265E-05,
25,2,89061892,-0,52,-1,29087566165254E-05,
26,3,01106442,-0,5,-1,23719364637509E-05,
27,3,13150054,-0,48,-1,18094903882593E-05,
28,3,25194768,-0,46,-1,12724083010107E-05,
29,3,37236952,-0,44,-1,07347586890683E-05,
30,3,49281322,-0,42,-1,01936893770471E-05,
31,3,71323644,-0,4,-9,64907485467847E-06,
32,3,83368728,-0,38,-9,14395786821842E-06,
33,3,95413706,-0,36,-8,65453148435336E-06,
34,4,07457214,-0,34,-8,17490217741579E-06,
35,4,19502074,-0,32,-7,94976767792832E-06,
36,4,31546564,-0,3,-8,33236117614433E-06,
37,4,43591174,-0,28,-7,60517104936298E-06,
38,4,55634444,-0,26,-6,79463482811116E-06,
39,4,67678586,-0,24,-6,10167626291513E-06,
40,4,7972207,-0,22,-5,44782960787416E-06,
41,4,91765262,-0,2,-4,87191573483869E-06,
42,5,03809664,-0,18,-4,31970329373144E-06,
43,5,15852716,-0,16,-3,79822449758649E-06,
44,5,27897492,-0,14,-3,29820795741398E-06,
45,5,39940506,-0,12,-2,80304448097013E-06,
46,5,51984918,-0,1,-2,32396632782184E-06,
47,5,64028716,-0,08,-1,84653799806256E-06,
48,5,76072542,-0,06,-1,38222640089225E-06,
49,5,98514782,-0,04,-9,19465492188465E-07,
50,6,12034606,-0,02,-4,5564320316771E-07,
51,6,397005,0,0,6,0325504591674E-09,
52,7,03343312,0,02,4,63208721157571E-07,
53,7,16860848,0,04,9,23032871469331E-07,
54,7,49481362,0,06,1,38480936584529E-06,
55,7,61529976,0,08,1,8558966985438E-06,
56,7,73574864,0,1,2,32890124607366E-06,
57,7,85617314,0,12,2,80867971014231E-06,
58,7,97660856,0,14,3,30240072798915E-06,
59,8,09703036,0,16,3,80306300939992E-06,
60,8,21748782,0,18,4,31900843977928E-06,
61,8,33791868,0,2,4,84601969219511E-06,
62,8,45836256,0,22,5,37830692337593E-06,
63,8,5788089,0,24,5,91053503740113E-06,
64,8,69925438,0,26,6,49678986519575E-06,
65,8,81969754,0,28,7,02453689882532E-06,
66,8,94015022,0,3,7,59267913963413E-06,
67,9,06058302,0,32,8,18512580735842E-06,
68,9,18105548,0,34,8,80086827237392E-06,
69,9,3014873,0,36,9,42968745221151E-06,
70,9,42192184,0,38,1,00636116258102E-05,
71,9,72870802,0,4,1,07195228338242E-05,
72,9,84919232,0,42,1,13851274363697E-05,
73,9,9696306,0,44,1,20723416330293E-05,
74,10,09006226,0,46,1,27347011584789E-05,
75,10,21052354,0,48,1,34186411742121E-05,
76,10,33096324,0,5,1,41124910442159E-05,
77,10,45141186,0,52,1,48241670103744E-05,
78,10,5718276,0,54,1,55456800712273E-05,
79,10,69227026,0,56,1,62675278261304E-05,
80,10,81270536,0,58,1,70202547451481E-05,
81,10,93314338,0,6,1,7786369426176E-05,
82,11,05356428,0,62,1,85589015018195E-05,
83,11,17400018,0,64,1,93998857866973E-05,
84,11,29444534,0,66,2,01833463506773E-05,
85,11,41487862,0,68,2,09781428566203E-05,
86,11,53534048,0,7,2,18151544686407E-05,
87,11,65577792,0,72,2,26089759962633E-05,
88,11,77622384,0,74,2,34147591982037E-05,
89,11,89665744,0,76,2,42339447140694E-05,
90,12,01711172,0,78,2,51255696639419E-05,
91,12,13756526,0,8,2,5950517738238E-05,
92,12,25801648,0,82,2,68562289420515E-05,
93,12,37845084,0,84,2,77052749879658E-05,
94,12,49890172,0,86,2,85872374661267E-05,
95,12,61932456,0,88,2,95368954539299E-05,
96,12,73977364,0,9,3,04803979815915E-05,
97,12,860212,0,92,3,13499913318083E-05,
98,12,98064962,0,94,3,22564883390442E-05,
99,13,10108712,0,96,3,32044583046809E-05,
100,13,2215477,0,98,3,41489358106628E-05,
101,13,3419916,1,0,3,51245544152334E-05,
