Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-1,0,-1,39313633553684E-05,
2,0,12048672,-0,98,-1,35792361106724E-05,
3,0,240939,-0,96,-1,32254499476403E-05,
4,0,36137074,-0,94,-1,28198880702257E-05,
5,0,48180902,-0,92,-1,24224025057629E-05,
6,0,6022286,-0,9,-1,20406330097467E-05,
7,0,72267684,-0,88,-1,16770243039355E-05,
8,0,84311808,-0,86,-1,13159185275435E-05,
9,0,96356312,-0,84,-1,09754619188607E-05,
10,1,0840218,-0,82,-1,06344668893144E-05,
11,1,20445334,-0,8,-1,02930935099721E-05,
12,1,42485924,-0,78,-9,94899710349273E-06,
13,1,54532684,-0,76,-9,61798832577188E-06,
14,1,66577016,-0,74,-9,31065733311698E-06,
15,1,7862041,-0,72,-9,00883424037602E-06,
16,1,90664384,-0,7,-8,6967193055898E-06,
17,2,0270894,-0,68,-8,40828761283774E-06,
18,2,1475337,-0,66,-8,11107929621357E-06,
19,2,2679755,-0,64,-7,81302878749557E-06,
20,2,38841546,-0,62,-7,51811785448808E-06,
21,2,50885516,-0,6,-7,23079756426159E-06,
22,2,62928016,-0,58,-6,96626375429332E-06,
23,2,74971464,-0,56,-6,69009568809997E-06,
24,2,87016956,-0,54,-6,39892095932737E-06,
25,2,99060356,-0,52,-6,13439806329552E-06,
26,3,11103538,-0,5,-5,87019167141989E-06,
27,3,23146868,-0,48,-5,60692569706589E-06,
28,3,35189048,-0,46,-5,34536047780421E-06,
29,3,47233292,-0,44,-5,08913581143133E-06,
30,3,59276046,-0,42,-4,83231269754469E-06,
31,3,71322542,-0,4,-4,58410249848384E-06,
32,3,83364888,-0,38,-4,3380496208556E-06,
33,3,95410708,-0,36,-4,0940740291262E-06,
34,4,07452886,-0,34,-3,85425300919451E-06,
35,4,19499316,-0,32,-3,61399361281656E-06,
36,4,3154394,-0,3,-3,38043173542246E-06,
37,4,43588736,-0,28,-3,1455529097002E-06,
38,4,55632026,-0,26,-2,91753894998692E-06,
39,4,67676262,-0,24,-2,68781514023431E-06,
40,4,79719354,-0,22,-2,45911724050529E-06,
41,4,91763996,-0,2,-2,23409006139264E-06,
42,5,0380746,-0,18,-2,00837894226424E-06,
43,5,15851308,-0,16,-1,78599839273375E-06,
44,5,27895188,-0,14,-1,5605655789841E-06,
45,5,39940682,-0,12,-1,33777211885899E-06,
46,5,51983906,-0,1,-1,11650479084346E-06,
47,5,74423846,-0,08,-8,90420551513671E-07,
48,5,8794281,-0,06,-6,6827760747401E-07,
49,6,01458636,-0,04,-4,46065087089664E-07,
50,6,14975872,-0,02,-2,23549704969628E-07,
51,6,42642078,0,0,6,50857145956252E-11,
52,7,06284834,0,02,2,19606249629578E-07,
53,7,19804938,0,04,4,40569806414715E-07,
54,7,33320896,0,06,6,63317678117892E-07,
55,7,46837346,0,08,8,8701256117929E-07,
56,7,79459912,0,1,1,11002555058803E-06,
57,7,91508108,0,12,1,33757384901401E-06,
58,8,03549666,0,14,1,56684654939454E-06,
59,8,15594138,0,16,1,79934613697696E-06,
60,8,27636882,0,18,2,03362469619606E-06,
61,8,39683058,0,2,2,27132113650441E-06,
62,8,51727716,0,22,2,50979610427748E-06,
63,8,63769746,0,24,2,74353806162253E-06,
64,8,75815964,0,26,2,98712984658778E-06,
65,8,87859536,0,28,3,23525819112547E-06,
66,8,99903396,0,3,3,48028697771952E-06,
67,9,11947718,0,32,3,73149305232801E-06,
68,9,23991328,0,34,3,98410338675603E-06,
69,9,36035878,0,36,4,24477002525236E-06,
70,9,480806,0,38,4,49696017312817E-06,
71,9,60123256,0,4,4,75406432087766E-06,
72,9,72167654,0,42,5,0181206461275E-06,
73,9,84210658,0,44,5,29254793946166E-06,
74,9,96254582,0,46,5,55110091227107E-06,
75,10,08298402,0,48,5,83160544920247E-06,
76,10,20344112,0,5,6,10179722571047E-06,
77,10,3238849,0,52,6,38432265986921E-06,
78,10,44433272,0,54,6,66627329337643E-06,
79,10,56477176,0,56,6,94305890647229E-06,
80,10,68523842,0,58,7,22017284715548E-06,
81,10,80565902,0,6,7,49445644032676E-06,
82,10,92609786,0,62,7,79962738306494E-06,
83,11,04653274,0,64,8,0761064964463E-06,
84,11,1669839,0,66,8,36040999274701E-06,
85,11,2874143,0,68,8,66390200826572E-06,
86,11,4078539,0,7,8,96199617272941E-06,
87,11,52829534,0,72,9,25635140447412E-06,
88,11,6487449,0,74,9,56117037276272E-06,
89,11,76916876,0,76,9,87207386060618E-06,
90,11,88959602,0,78,1,01767973319511E-05,
91,12,0100424,0,8,1,04821720015025E-05,
92,12,31681662,0,82,1,07272644527256E-05,
93,12,43729376,0,84,1,10558321466669E-05,
94,12,55772722,0,86,1,13684509415179E-05,
95,12,67817316,0,88,1,16853043437004E-05,
96,12,79860522,0,9,1,2004456948489E-05,
97,12,9190622,0,92,1,22947676572949E-05,
98,13,03949502,0,94,1,26197992358357E-05,
99,13,15990638,0,96,1,29584659589455E-05,
100,13,28034888,0,98,1,328787766397E-05,
101,13,40077434,1,0,1,36148446472362E-05,
