Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-1,0,-4,97337605338544E-05,
2,0,12049332,-0,98,-4,85789496451616E-05,
3,0,24094142,-0,96,-4,73176187369972E-05,
4,0,36137368,-0,94,-4,59839939139783E-05,
5,0,48181182,-0,92,-4,46633493993431E-05,
6,0,6022458,-0,9,-4,33462992077693E-05,
7,0,7227022,-0,88,-4,20684082200751E-05,
8,0,84314466,-0,86,-4,0778933907859E-05,
9,0,96360156,-0,84,-3,95231327274814E-05,
10,1,08404224,-0,82,-3,82842117687687E-05,
11,1,20448098,-0,8,-3,70318302884698E-05,
12,1,32492208,-0,78,-3,58220713678747E-05,
13,1,44536368,-0,76,-3,45824228134006E-05,
14,1,56579206,-0,74,-3,3475473173894E-05,
15,1,68624556,-0,72,-3,23015847243369E-05,
16,1,80668242,-0,7,-3,11197072733194E-05,
17,1,92712576,-0,68,-2,99381499644369E-05,
18,2,04755022,-0,66,-2,87681177724153E-05,
19,2,16798942,-0,64,-2,76087084785104E-05,
20,2,28843006,-0,62,-2,64684349531308E-05,
21,2,4088804,-0,6,-2,53271427936852E-05,
22,2,52930526,-0,58,-2,42221576627344E-05,
23,2,6497508,-0,56,-2,3130196495913E-05,
24,2,77020464,-0,54,-2,20448564505205E-05,
25,2,89063536,-0,52,-2,09694553632289E-05,
26,3,0110986,-0,5,-1,99039495782927E-05,
27,3,13153094,-0,48,-1,88152625923976E-05,
28,3,25197378,-0,46,-1,7787009710446E-05,
29,3,37240506,-0,44,-1,67984835570678E-05,
30,3,49285444,-0,42,-1,58292968990281E-05,
31,3,61329332,-0,4,-1,48697145050392E-05,
32,3,73373672,-0,38,-1,39190233312547E-05,
33,3,85416428,-0,36,-1,29834224935621E-05,
34,3,97460676,-0,34,-1,20927579700947E-05,
35,4,09503202,-0,32,-1,11958506749943E-05,
36,4,2154693,-0,3,-1,03421625681221E-05,
37,4,4358892,-0,28,-9,5137620519381E-06,
38,4,55636018,-0,26,-8,70102667249739E-06,
39,4,67680834,-0,24,-7,90160629549064E-06,
40,4,79725414,-0,22,-7,13575536792632E-06,
41,4,91770642,-0,2,-6,3846218836261E-06,
42,5,03814922,-0,18,-5,65849950362463E-06,
43,5,15860532,-0,16,-4,95587846671697E-06,
44,5,2790487,-0,14,-4,27585473516956E-06,
45,5,39948256,-0,12,-3,60997546522412E-06,
46,5,5199201,-0,1,-2,96019607048947E-06,
47,5,64034252,-0,08,-2,33531864068937E-06,
48,5,76078206,-0,06,-1,74131128005683E-06,
49,5,88121882,-0,04,-1,1395040928619E-06,
50,6,10565574,-0,02,-5,58974306841264E-07,
51,6,3823446,0,0,4,20340029450017E-09,
52,7,01880022,0,02,5,48182242710027E-07,
53,7,34503022,0,04,1,08507992990781E-06,
54,7,4655,0,06,1,61434036272112E-06,
55,7,58592972,0,08,2,13478779187426E-06,
56,7,70637928,0,1,2,65047310676891E-06,
57,7,82681114,0,12,3,16748992190696E-06,
58,7,94727016,0,14,3,6791116144741E-06,
59,8,06768522,0,16,4,19314528699033E-06,
60,8,18813426,0,18,4,70736813440453E-06,
61,8,30857676,0,2,5,22902337252162E-06,
62,8,42901994,0,22,5,74614023207687E-06,
63,8,54944494,0,24,6,2659701143275E-06,
64,8,66989736,0,26,6,77569823892554E-06,
65,8,79035106,0,28,7,3012333814404E-06,
66,8,91078248,0,3,7,82786719355499E-06,
67,9,03123038,0,32,8,35190348880133E-06,
68,9,1516743,0,34,8,89031889528269E-06,
69,9,27212466,0,36,9,40426434681285E-06,
70,9,39255098,0,38,9,9719627542072E-06,
71,9,69935192,0,4,1,05055514723063E-05,
72,9,81983026,0,42,1,10450200736523E-05,
73,9,9402876,0,44,1,15974398795515E-05,
74,10,06072938,0,46,1,21788616525009E-05,
75,10,18117422,0,48,1,27612875076011E-05,
76,10,30161968,0,5,1,33321736939251E-05,
77,10,42206946,0,52,1,39591284096241E-05,
78,10,54250228,0,54,1,45953381434083E-05,
79,10,66295606,0,56,1,52113207150251E-05,
80,10,7833992,0,58,1,57838803716004E-05,
81,10,90383922,0,6,1,63937656907365E-05,
82,11,02427626,0,62,1,69883278431371E-05,
83,11,14472186,0,64,1,75795576069504E-05,
84,11,26516252,0,66,1,81522191269323E-05,
85,11,3855932,0,68,1,87768309842795E-05,
86,11,5060424,0,7,1,93749583559111E-05,
87,11,62647624,0,72,2,00336216948926E-05,
88,11,74692864,0,74,2,06783879548311E-05,
89,11,86736506,0,76,2,1298837964423E-05,
90,11,9878074,0,78,2,19443463720381E-05,
91,12,10823774,0,8,2,26369156735018E-05,
92,12,22868312,0,82,2,32806924032047E-05,
93,12,34912158,0,84,2,3905944544822E-05,
94,12,46956662,0,86,2,45450501097366E-05,
95,12,59000576,0,88,2,51932069659233E-05,
96,12,710465,0,9,2,58188229054213E-05,
97,12,8308888,0,92,2,64218106167391E-05,
98,12,95133758,0,94,2,71076860371977E-05,
99,13,07176238,0,96,2,78318329947069E-05,
100,13,19221526,0,98,2,84307752735913E-05,
101,13,31264752,1,0,2,90984025923535E-05,
