Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,0,-1,0,-2,08828569157049E-05,
2,0,12049668,-0,98,-2,03246017917991E-05,
3,0,2409442,-0,96,-1,98814668692648E-05,
4,0,36137052,-0,94,-1,940356742125E-05,
5,0,48182084,-0,92,-1,90307619050145E-05,
6,0,60225936,-0,9,-1,84921664185822E-05,
7,0,72270732,-0,88,-1,80611241376027E-05,
8,0,84314126,-0,86,-1,75956229213625E-05,
9,0,96358078,-0,84,-1,7158905393444E-05,
10,1,08401378,-0,82,-1,67269608937204E-05,
11,1,2044514,-0,8,-1,62758951773867E-05,
12,1,3248879,-0,78,-1,58366456162184E-05,
13,1,44534042,-0,76,-1,5426441677846E-05,
14,1,56577336,-0,74,-1,49697443703189E-05,
15,1,68621486,-0,72,-1,45513622555882E-05,
16,1,80664988,-0,7,-1,41385098686442E-05,
17,1,9270838,-0,68,-1,37050228659064E-05,
18,2,04751962,-0,66,-1,32970162667334E-05,
19,2,16797196,-0,64,-1,28959800349548E-05,
20,2,28841828,-0,62,-1,24531361507252E-05,
21,2,40886118,-0,6,-1,20630429591984E-05,
22,2,52929082,-0,58,-1,16376177174971E-05,
23,2,64972836,-0,56,-1,12332054413855E-05,
24,2,77014928,-0,54,-1,08137901406735E-05,
25,2,8905711,-0,52,-1,04364444268867E-05,
26,3,01102356,-0,5,-1,00359466159716E-05,
27,3,23143784,-0,48,-9,61239493335597E-06,
28,3,3519065,-0,46,-9,20398088055663E-06,
29,3,47234818,-0,44,-8,80804873304442E-06,
30,3,59278254,-0,42,-8,40424763737246E-06,
31,3,71323376,-0,4,-8,01522946858313E-06,
32,3,83365618,-0,38,-7,62091076467186E-06,
33,3,9541015,-0,36,-7,22025833965745E-06,
34,4,07455158,-0,34,-6,82707104715519E-06,
35,4,1949911,-0,32,-6,43058410787489E-06,
36,4,31541726,-0,3,-6,04012893745676E-06,
37,4,43585162,-0,28,-5,6412991398247E-06,
38,4,55628378,-0,26,-5,25143877894152E-06,
39,4,676736,-0,24,-4,85392592963763E-06,
40,4,7971774,-0,22,-4,45535442850087E-06,
41,4,91761716,-0,2,-4,06440631195437E-06,
42,5,03803574,-0,18,-3,66515268979128E-06,
43,5,15847754,-0,16,-3,27107409248129E-06,
44,5,27891648,-0,14,-2,87258080788888E-06,
45,5,39934934,-0,12,-2,4707169359317E-06,
46,5,51980104,-0,1,-2,06635195354465E-06,
47,5,64022232,-0,08,-1,65879100677557E-06,
48,5,76067028,-0,06,-1,2478485587053E-06,
49,5,98506962,-0,04,-8,33915009934572E-07,
50,6,12025668,-0,02,-4,21259301219834E-07,
51,6,3969287,0,0,-1,75926118117786E-09,
52,7,03337486,0,02,4,20028641201498E-07,
53,7,16858736,0,04,8,46229227136064E-07,
54,7,4948092,0,06,1,27905877889134E-06,
55,7,61527328,0,08,1,7153342923848E-06,
56,7,73572754,0,1,2,15596992347855E-06,
57,7,85615104,0,12,2,60275373875629E-06,
58,7,97661064,0,14,3,05381581711117E-06,
59,8,09704974,0,16,3,51231028616894E-06,
60,8,21749608,0,18,3,97686198994052E-06,
61,8,337911,0,2,4,45009936811402E-06,
62,8,45835376,0,22,4,92925209982786E-06,
63,8,57878104,0,24,5,41598365089158E-06,
64,8,6992178,0,26,5,91162461205386E-06,
65,8,81965962,0,28,6,41371843812522E-06,
66,8,94010456,0,3,6,92414232617011E-06,
67,9,06054882,0,32,7,44094177207444E-06,
68,9,18099946,0,34,7,97156371845631E-06,
69,9,30142332,0,36,8,50597007229226E-06,
70,9,42187242,0,38,9,0575576905394E-06,
71,9,54230596,0,4,9,61706973612309E-06,
72,9,6627518,0,42,1,01875657492201E-05,
73,9,96952062,0,44,1,07654050225392E-05,
74,10,09000392,0,46,1,1358511983417E-05,
75,10,210452,0,48,1,19557516882196E-05,
76,10,33089682,0,5,1,25655787996948E-05,
77,10,45133154,0,52,1,31873384816572E-05,
78,10,5717672,0,54,1,38134637381881E-05,
79,10,6922235,0,56,1,44426157930866E-05,
80,10,81265582,0,58,1,51017593452707E-05,
81,10,93310816,0,6,1,57554895849898E-05,
82,11,05353976,0,62,1,64303201017901E-05,
83,11,17400258,0,64,1,71086576301605E-05,
84,11,29444162,0,66,1,77965412149206E-05,
85,11,4148972,0,68,1,84976379387081E-05,
86,11,53533196,0,7,1,92038132809103E-05,
87,11,65578946,0,72,1,99153000721708E-05,
88,11,77621968,0,74,2,06377444555983E-05,
89,11,8966825,0,76,2,13478924706578E-05,
90,12,01711996,0,78,2,20896035898477E-05,
91,12,13756694,0,8,2,28230928769335E-05,
92,12,25802854,0,82,2,35735060414299E-05,
93,12,37846158,0,84,2,43132235482335E-05,
94,12,49890754,0,86,2,50656885327771E-05,
95,12,61934348,0,88,2,5826579076238E-05,
96,12,73978246,0,9,2,66040733549744E-05,
97,12,86021068,0,92,2,73800833383575E-05,
98,12,98066334,0,94,2,81460816040635E-05,
99,13,10111738,0,96,2,89295421680436E-05,
100,13,22157618,0,98,2,97230144497007E-05,
101,13,34201532,1,0,3,05055145872757E-05,
