Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-1,0,-1,02941994555295E-05,
2,0,12048932,-0,98,-1,04187165561598E-05,
3,0,24091624,-0,96,-1,02274789242074E-05,
4,0,36136208,-0,94,-9,94829315459356E-06,
5,0,48179072,-0,92,-9,66235711530317E-06,
6,0,60223558,-0,9,-9,36858850764111E-06,
7,0,7226719,-0,88,-9,08451329451054E-06,
8,0,84312404,-0,86,-8,79319304658566E-06,
9,0,96355838,-0,84,-8,50116157380398E-06,
10,1,0840065,-0,82,-8,20559398562182E-06,
11,1,20444436,-0,8,-7,92437822383363E-06,
12,1,32486714,-0,78,-7,63845673645847E-06,
13,1,44532,-0,76,-7,36091533326544E-06,
14,1,56574264,-0,74,-7,08081279299222E-06,
15,1,68619388,-0,72,-6,80914126860444E-06,
16,1,80664288,-0,7,-6,53566894470714E-06,
17,1,9270929,-0,68,-6,27065310254693E-06,
18,2,04751314,-0,66,-6,00983003096189E-06,
19,2,16795166,-0,64,-5,75083868170623E-06,
20,2,28839384,-0,62,-5,4910997278057E-06,
21,2,40883576,-0,6,-5,24423558090348E-06,
22,2,52927516,-0,58,-5,00066744280048E-06,
23,2,649724,-0,56,-4,75987508252729E-06,
24,2,77017196,-0,54,-4,52305175713263E-06,
25,2,89061498,-0,52,-4,29256033385172E-06,
26,3,01104804,-0,5,-4,06956132792402E-06,
27,3,1314934,-0,48,-3,85135717806406E-06,
28,3,25192878,-0,46,-3,63688559446018E-06,
29,3,37237054,-0,44,-3,43486135534476E-06,
30,3,49278918,-0,42,-3,23001950164326E-06,
31,3,61324122,-0,4,-3,03714477922767E-06,
32,3,73367692,-0,38,-2,84353700408246E-06,
33,3,85411568,-0,36,-2,65737071458716E-06,
34,3,9745617,-0,34,-2,47296884481329E-06,
35,4,0950185,-0,32,-2,29950819630176E-06,
36,4,21547032,-0,3,-2,12660597753711E-06,
37,4,33589402,-0,28,-1,96434484678321E-06,
38,4,45634718,-0,26,-1,79837843461428E-06,
39,4,57677898,-0,24,-1,63960430654697E-06,
40,4,69723212,-0,22,-1,48451727000065E-06,
41,4,81767922,-0,2,-1,33271896629594E-06,
42,4,93812682,-0,18,-1,18846219265833E-06,
43,5,05856462,-0,16,-1,04418177215848E-06,
44,5,28299318,-0,14,-9,0329626800667E-07,
45,5,4181983,-0,12,-7,66996890888549E-07,
46,5,55336538,-0,1,-6,34582193015376E-07,
47,5,68855294,-0,08,-5,02924194734078E-07,
48,5,82371074,-0,06,-3,74233877664665E-07,
49,5,9588792,-0,04,-2,47727257374208E-07,
50,6,0940573,-0,02,-1,231303485838E-07,
51,6,37074206,0,0,3,86179976885614E-10,
52,7,00718114,0,02,1,22047481454501E-07,
53,7,14236944,0,04,2,43220483753248E-07,
54,7,27753118,0,06,3,64041284228733E-07,
55,7,41270576,0,08,4,85004079564533E-07,
56,7,54787026,0,1,6,03788635089586E-07,
57,7,68302886,0,12,7,22883555681619E-07,
58,7,81819432,0,14,8,43661609906121E-07,
59,7,95336358,0,16,9,61157638812438E-07,
60,8,27959636,0,18,1,08312269730959E-06,
61,8,40007076,0,2,1,20351069199387E-06,
62,8,52050146,0,22,1,32468267111108E-06,
63,8,64094676,0,24,1,44651130540296E-06,
64,8,76137424,0,26,1,56939677253831E-06,
65,8,88181274,0,28,1,6920457710512E-06,
66,9,00224388,0,3,1,8165992514696E-06,
67,9,12268642,0,32,1,9373073882889E-06,
68,9,2431104,0,34,2,05736796488054E-06,
69,9,36356094,0,36,2,18633977056015E-06,
70,9,48398648,0,38,2,31064950639848E-06,
71,9,60444416,0,4,2,44063448917586E-06,
72,9,72487902,0,42,2,56166094914079E-06,
73,9,84532726,0,44,2,69121665041894E-06,
74,9,96576934,0,46,2,82250221061986E-06,
75,10,08620264,0,48,2,96039615932386E-06,
76,10,2066663,0,5,3,08263588522095E-06,
77,10,3270896,0,52,3,21303559758235E-06,
78,10,44753652,0,54,3,34163269144483E-06,
79,10,56795314,0,56,3,48118192050606E-06,
80,10,68840684,0,58,3,62035825673956E-06,
81,10,80885172,0,6,3,75147465092596E-06,
82,10,92929282,0,62,3,87532236345578E-06,
83,11,04971494,0,64,4,01592478738166E-06,
84,11,17015994,0,66,4,15552312915679E-06,
85,11,29058596,0,68,4,29975079896394E-06,
86,11,4110411,0,7,4,44693614554126E-06,
87,11,53145912,0,72,4,57656187791144E-06,
88,11,65190094,0,74,4,71044040750712E-06,
89,11,772343,0,76,4,85783857584465E-06,
90,11,89278222,0,78,4,99590350955259E-06,
91,12,01321432,0,8,5,1489832912921E-06,
92,12,13366332,0,82,5,29663520865142E-06,
93,12,25408938,0,84,5,43301121069817E-06,
94,12,3745362,0,86,5,5981090554269E-06,
95,12,4949607,0,88,5,75429476157296E-06,
96,12,61541124,0,9,5,89905357628595E-06,
97,12,7358299,0,92,6,05593140790006E-06,
98,12,8562684,0,94,6,21068375039613E-06,
99,12,97671464,0,96,6,34816206002142E-06,
100,13,09716788,0,98,6,51072423352161E-06,
101,13,2176002,1,0,6,66285723127658E-06,
