Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-1,0,-1,58824877871666E-06,
2,0,12049378,-0,98,-1,55378438648768E-06,
3,0,24094018,-0,96,-1,51882704813033E-06,
4,0,36139236,-0,94,-1,48432809510268E-06,
5,0,48185508,-0,92,-1,44978548632935E-06,
6,0,60229878,-0,9,-1,41526652441826E-06,
7,0,72273592,-0,88,-1,38094583235215E-06,
8,0,84321576,-0,86,-1,34672154672444E-06,
9,0,96366632,-0,84,-1,31277010950726E-06,
10,1,08409972,-0,82,-1,27902785607148E-06,
11,1,20455026,-0,8,-1,24522011901718E-06,
12,1,32498922,-0,78,-1,21162702271249E-06,
13,1,44542982,-0,76,-1,17811214295216E-06,
14,1,56587366,-0,74,-1,14479189505801E-06,
15,1,6863322,-0,72,-1,11152803583536E-06,
16,1,8067611,-0,7,-1,0786116035888E-06,
17,1,9272132,-0,68,-1,04564060166012E-06,
18,2,04763088,-0,66,-1,01271507446654E-06,
19,2,27205976,-0,64,-9,79849346549599E-07,
20,2,40727968,-0,62,-9,47335365708568E-07,
21,2,54243914,-0,6,-9,14837301024818E-07,
22,2,67760574,-0,58,-8,82598669704748E-07,
23,2,81276868,-0,56,-8,50400965646259E-07,
24,2,94792736,-0,54,-8,1824509834405E-07,
25,3,08309442,-0,52,-7,86261352914153E-07,
26,3,21826818,-0,5,-7,54546363168629E-07,
27,3,35344952,-0,48,-7,22824552212842E-07,
28,3,48861498,-0,46,-6,91299419486313E-07,
29,3,62378466,-0,44,-6,59839543004637E-07,
30,3,75894488,-0,42,-6,28461066298769E-07,
31,3,89412652,-0,4,-5,9734361457231E-07,
32,4,0293008,-0,38,-5,66305516258581E-07,
33,4,1644717,-0,36,-5,35321760253282E-07,
34,4,29961824,-0,34,-5,04539457324427E-07,
35,4,4347849,-0,32,-4,73882664664416E-07,
36,4,5699349,-0,3,-4,43273393102572E-07,
37,4,70510548,-0,28,-4,12867620980251E-07,
38,4,84027344,-0,26,-3,82601456294651E-07,
39,4,97544462,-0,24,-3,52393954017316E-07,
40,5,11060752,-0,22,-3,22365394822555E-07,
41,5,24576456,-0,2,-2,92446884486708E-07,
42,5,3809417,-0,18,-2,62607500189915E-07,
43,5,51608984,-0,16,-2,32934326049872E-07,
44,5,65126314,-0,14,-2,03403487830656E-07,
45,5,78643596,-0,12,-1,73924718183116E-07,
46,5,92161154,-0,1,-1,44632622323115E-07,
47,6,05677374,-0,08,-1,15483999252319E-07,
48,6,33342114,-0,06,-8,63076792256834E-08,
49,6,76598126,-0,04,-5,74311229684099E-08,
50,7,19852296,-0,02,-2,86637344970586E-08,
51,7,7044356,0,0,6,25988150204648E-11,
52,8,37842284,0,02,2,76104827889867E-08,
53,8,81097188,0,04,5,74413689946596E-08,
54,9,2435166,0,06,8,54566764019182E-08,
55,9,87560428,0,08,1,13523583422648E-07,
56,10,01080528,0,1,1,41541590892302E-07,
57,10,14597492,0,12,1,69486838785815E-07,
58,10,28113674,0,14,1,972897507585E-07,
59,10,41631548,0,16,2,24988298214157E-07,
60,10,55148238,0,18,2,52522454502468E-07,
61,10,68664584,0,2,2,79919504464488E-07,
62,10,82180712,0,22,3,07306663671625E-07,
63,10,95697308,0,24,3,34404603563598E-07,
64,11,09211538,0,26,3,61523802894226E-07,
65,11,22728552,0,28,3,88497824133083E-07,
66,11,36245154,0,3,4,15280283050379E-07,
67,11,4976355,0,32,4,41958150076971E-07,
68,11,63279614,0,34,4,68539724352013E-07,
69,11,76796844,0,36,4,94968389830319E-07,
70,11,90313868,0,38,5,212366431806E-07,
71,12,03830318,0,4,5,47422587260371E-07,
72,12,1734622,0,42,5,73514512325346E-07,
73,12,3086319,0,44,5,99416921431839E-07,
74,12,44379538,0,46,6,2517472088075E-07,
75,12,57895358,0,48,6,50868400953186E-07,
76,12,7141346,0,5,6,76472723171173E-07,
77,12,84929644,0,52,7,01925387147639E-07,
78,12,98446518,0,54,7,27141468814807E-07,
79,13,11964118,0,56,7,52330265640921E-07,
80,13,25480806,0,58,7,77385821493226E-07,
81,13,38998984,0,6,8,02280396783317E-07,
82,13,52515058,0,62,8,27150302029622E-07,
83,13,66032492,0,64,8,51881509333907E-07,
84,13,79550042,0,66,8,76330318533292E-07,
85,13,93066536,0,68,9,00778218237974E-07,
86,14,06582612,0,7,9,25143012864282E-07,
87,14,20099482,0,72,9,492239314568E-07,
88,14,33615196,0,74,9,73282112681773E-07,
89,14,47131908,0,76,9,97226607069024E-07,
90,14,60648552,0,78,1,02091678400029E-06,
91,14,74167772,0,8,1,04449236459914E-06,
92,15,0679303,0,82,1,06791048892774E-06,
93,15,18840596,0,84,1,0913336154772E-06,
94,15,30885128,0,86,1,11456756712869E-06,
95,15,42928234,0,88,1,13770693133119E-06,
96,15,54972618,0,9,1,16057526611257E-06,
97,15,67018874,0,92,1,18339630716946E-06,
98,15,79061588,0,94,1,20617005450185E-06,
99,15,91107104,0,96,1,22874371299986E-06,
100,16,03150478,0,98,1,25114092952572E-06,
101,16,1519474,1,0,1,27342173072975E-06,
