Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-2,0,-5,42351881449576E-06,
2,0,12048106,-1,96,-5,28561031387653E-06,
3,0,24090712,-1,92,-5,12594669999089E-06,
4,0,36134056,-1,88,-5,01240356243216E-06,
5,0,48176628,-1,84,-4,85650707560126E-06,
6,0,60220014,-1,8,-4,71036037197337E-06,
7,0,72263466,-1,76,-4,57655187346973E-06,
8,0,84306906,-1,72,-4,44253964815289E-06,
9,0,96350518,-1,68,-4,30135696660727E-06,
10,1,08392298,-1,64,-4,2018527892651E-06,
11,1,2043685,-1,6,-4,0684717532713E-06,
12,1,32479866,-1,56,-3,96702671423554E-06,
13,1,44524628,-1,52,-3,84832674171776E-06,
14,1,5656949,-1,48,-3,75537092622835E-06,
15,1,68613104,-1,44,-3,62481659976766E-06,
16,1,80657986,-1,4,-3,54608710040338E-06,
17,1,92703316,-1,36,-3,42136627295986E-06,
18,2,04745306,-1,32,-3,32716990669724E-06,
19,2,16789652,-1,28,-3,18106322083622E-06,
20,2,28831354,-1,24,-3,06521178572439E-06,
21,2,40875808,-1,2,-2,9676994017791E-06,
22,2,52920056,-1,16,-2,85655005427543E-06,
23,2,6496512,-1,12,-2,75460661214311E-06,
24,2,7700895,-1,08,-2,65312337432988E-06,
25,2,89053076,-1,04,-2,52309655479621E-06,
26,3,01096678,-1,0,-2,43473914451897E-06,
27,3,13142144,-0,96,-2,30100704357028E-06,
28,3,2518626,-0,92,-2,1992418623995E-06,
29,3,37230354,-0,88,-2,09204154089093E-06,
30,3,49272428,-0,84,-1,97134431800805E-06,
31,3,6131698,-0,8,-1,8823157006409E-06,
32,3,73361054,-0,76,-1,77993752004113E-06,
33,3,85406026,-0,72,-1,68123187904712E-06,
34,3,97448214,-0,68,-1,58993134391494E-06,
35,4,09493044,-0,64,-1,48073741002008E-06,
36,4,21537282,-0,6,-1,38652467285283E-06,
37,4,3357947,-0,56,-1,29611544252839E-06,
38,4,45623854,-0,52,-1,1969605111517E-06,
39,4,57668302,-0,48,-1,09173743112478E-06,
40,4,69711752,-0,44,-1,00670877145603E-06,
41,4,92153002,-0,4,-9,15665395950782E-07,
42,5,0567203,-0,36,-8,16891997601488E-07,
43,5,19189336,-0,32,-7,22910726835835E-07,
44,5,32705062,-0,28,-6,32867568128859E-07,
45,5,46222368,-0,24,-5,47392346561537E-07,
46,5,59739834,-0,2,-4,56805310022901E-07,
47,5,73257928,-0,16,-3,6502092370938E-07,
48,5,8677397,-0,12,-2,76124183073989E-07,
49,6,00288852,-0,08,-1,88586454896722E-07,
50,6,2795598,-0,04,-9,49442693354285E-08,
51,6,78551074,0,0,-2,09581685339799E-10,
52,7,4219633,0,04,1,00502802524716E-07,
53,7,55715562,0,08,2,08090796149918E-07,
54,7,69232356,0,12,3,21214656651136E-07,
55,7,82747662,0,16,4,39262294094078E-07,
56,7,96266012,0,2,5,60622424927715E-07,
57,8,09785296,0,24,6,8592305524362E-07,
58,8,23302078,0,28,8,14689201433794E-07,
59,8,36818872,0,32,9,38455514187808E-07,
60,8,69437392,0,36,1,07320556708146E-06,
61,8,8148512,0,4,1,20794538815971E-06,
62,8,9352942,0,44,1,34055699163582E-06,
63,9,05573604,0,48,1,47747414303012E-06,
64,9,17617632,0,52,1,6168432921404E-06,
65,9,29661282,0,56,1,7541187844472E-06,
66,9,41707052,0,6,1,89764796232339E-06,
67,9,5374888,0,64,2,04533716896549E-06,
68,9,65793366,0,68,2,18491004488897E-06,
69,9,77835028,0,72,2,32455568038858E-06,
70,9,89880326,0,76,2,46652234636713E-06,
71,10,01923624,0,8,2,61230707110371E-06,
72,10,13967686,0,84,2,75791717285756E-06,
73,10,26011694,0,88,2,90271782432683E-06,
74,10,38055454,0,92,3,05213143292349E-06,
75,10,50100482,0,96,3,20044637192041E-06,
76,10,6214468,1,0,3,34292599291075E-06,
77,10,74188806,1,04,3,4893055271823E-06,
78,10,86233148,1,08,3,63828257832211E-06,
79,10,98275498,1,12,3,79092125513125E-06,
80,11,1032105,1,16,3,93958180211484E-06,
81,11,22364406,1,2,4,091814844287E-06,
82,11,3440648,1,24,4,24041536462028E-06,
83,11,46452136,1,28,4,39057293988299E-06,
84,11,58494162,1,32,4,54953351436416E-06,
85,11,70539588,1,36,4,69684255222091E-06,
86,11,82581692,1,4,4,85449527332094E-06,
87,11,9462642,1,44,5,01230169902556E-06,
88,12,06669912,1,48,5,16255113325315E-06,
89,12,18715462,1,52,5,33163802174386E-06,
90,12,30759544,1,56,5,48054140381282E-06,
91,12,42804196,1,6,5,63738922210177E-06,
92,12,54846756,1,64,5,78963863517856E-06,
93,12,66891688,1,68,5,94731227465672E-06,
94,12,78933238,1,72,6,10235201747855E-06,
95,12,90977048,1,76,6,26167911832454E-06,
96,13,03018844,1,8,6,42024315311573E-06,
97,13,15062792,1,84,6,59327088214923E-06,
98,13,27105774,1,88,6,7532564571593E-06,
99,13,39150598,1,92,6,91777040628949E-06,
100,13,51193984,1,96,7,08956486050738E-06,
101,13,63239812,2,0,7,2406510298606E-06,
