Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-2,0,-0,00555155239999294,
2,0,12049272,-1,96,-0,00544025003910065,
3,0,2409474,-1,92,-0,00532882288098335,
4,0,36139476,-1,88,-0,00521773472428322,
5,0,4818238,-1,84,-0,00510662980377674,
6,0,60227058,-1,8,-0,00499562919139862,
7,0,7226986,-1,76,-0,00488471798598766,
8,0,84314812,-1,72,-0,00477370619773865,
9,0,9635744,-1,68,-0,00466269068419933,
10,1,08402022,-1,64,-0,00455173850059509,
11,1,20446698,-1,6,-0,00444075278937817,
12,1,32491676,-1,56,-0,00432975590229034,
13,1,44533446,-1,52,-0,00421886146068573,
14,1,56578822,-1,48,-0,00410786271095276,
15,1,68622182,-1,44,-0,003996841609478,
16,1,80665876,-1,4,-0,00388598628342152,
17,1,92710184,-1,36,-0,00377496890723705,
18,2,04754674,-1,32,-0,00366391055285931,
19,2,16799884,-1,28,-0,00355301424860954,
20,2,28844178,-1,24,-0,00344202108681202,
21,2,4088646,-1,2,-0,00333098322153091,
22,2,52929772,-1,16,-0,00322003476321697,
23,2,64973408,-1,12,-0,00310902111232281,
24,2,7701742,-1,08,-0,00299798510968685,
25,2,89060194,-1,04,-0,0028870701789856,
26,3,01105734,-1,0,-0,002776013687253,
27,3,13148362,-0,96,-0,0026649683713913,
28,3,2519263,-0,92,-0,00255401246249676,
29,3,3723631,-0,88,-0,00244294479489326,
30,3,49277536,-0,84,-0,00233189947903156,
31,3,6132175,-0,8,-0,00222092866897583,
32,3,73364114,-0,76,-0,00210987217724323,
33,3,85408846,-0,72,-0,00199881754815578,
34,3,9745292,-0,68,-0,0018878523260355,
35,4,09496954,-0,64,-0,00177680142223835,
36,4,21540402,-0,6,-0,00166572071611881,
37,4,33584228,-0,56,-0,00155474245548248,
38,4,4562791,-0,52,-0,00144368037581444,
39,4,57673296,-0,48,-0,0013326033949852,
40,4,69717052,-0,44,-0,00122161768376827,
41,4,81761784,-0,4,-0,00111053325235844,
42,5,03001426,-0,36,-0,000999456038698554,
43,5,15047638,-0,32,-0,000888439826667309,
44,5,27091866,-0,28,-0,000777364941313863,
45,5,39135508,-0,24,-0,000666298437863588,
46,5,51179132,-0,2,-0,00055528013035655,
47,5,63222188,-0,16,-0,000444201286882162,
48,5,75266292,-0,12,-0,000333095667883754,
49,5,87310818,-0,08,-0,000222098315134645,
50,5,993556,-0,04,-0,000110992230474949,
51,6,3594414,0,0,1,31891511045978E-08,
52,7,07026584,0,04,0,000110988272354007,
53,7,19074934,0,08,0,000222078873775899,
54,7,31119768,0,12,0,00033316423650831,
55,7,43161458,0,16,0,000444248202256858,
56,7,55206612,0,2,0,000555226695723832,
57,7,67249886,0,24,0,000666320440359414,
58,7,79293986,0,28,0,000777381006628275,
59,7,91337514,0,32,0,000888442387804389,
60,8,03381344,0,36,0,000999551499262452,
61,8,24462608,0,4,0,00111057609319687,
62,8,36509824,0,44,0,00122165493667126,
63,8,48552484,0,48,0,00133272632956505,
64,8,60598274,0,52,0,00144380889832973,
65,8,72643512,0,56,0,00155477039515972,
66,8,84687062,0,6,0,00166583061218262,
67,8,96731526,0,64,0,00177690386772156,
68,9,08777274,0,68,0,00188795663416386,
69,9,20821522,0,72,0,00199891440570354,
70,9,32865218,0,76,0,00210995599627495,
71,9,449079,0,8,0,00222102925181389,
72,9,5695151,0,84,0,00233206152915955,
73,9,6899437,0,88,0,0024431012570858,
74,9,81038846,0,92,0,00255406927317381,
75,9,9308206,0,96,0,00266508758068085,
76,10,05126478,1,0,0,00277613662183285,
77,10,17169202,1,04,0,0028871688991785,
78,10,29213256,1,08,0,00299809407442808,
79,10,41256682,1,12,0,00310913659632206,
80,10,5330148,1,16,0,0032201437279582,
81,10,65346214,1,2,0,00333117879927158,
82,10,77390924,1,24,0,00344219896942377,
83,10,8943408,1,28,0,00355309806764126,
84,11,0147912,1,32,0,00366408377885818,
85,11,13522662,1,36,0,0037750992923975,
86,11,25566554,1,4,0,00388610456138849,
87,11,3761098,1,44,0,00399696175009012,
88,11,49654764,1,48,0,00410797540098429,
89,11,61698504,1,52,0,00421896949410439,
90,11,73741602,1,56,0,00432992726564407,
91,11,85785576,1,6,0,00444087851792574,
92,11,9782946,1,64,0,00455172266811132,
93,12,09873464,1,68,0,00466269440948963,
94,12,2191522,1,72,0,00477363634854555,
95,12,33959946,1,76,0,00488457642495632,
96,12,46001786,1,8,0,00499542150646448,
97,12,58046162,1,84,0,00510634388774633,
98,12,70089008,1,88,0,00521725881844759,
99,12,821346,1,92,0,00532820634543896,
100,12,94178384,1,96,0,00543903186917305,
101,13,06221648,2,0,0,00554990861564875,
