Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-2,0,-6,3556200302628E-09,
2,0,43256704,-1,96,-1,46037848480773E-09,
3,0,86510188,-1,92,-1,97623251096957E-09,
4,1,29762576,-1,88,-1,4308056961454E-09,
5,1,7301642,-1,84,3,76559228243423E-10,
6,2,16269812,-1,8,-1,28515864616929E-09,
7,2,59523648,-1,76,-1,75353420672764E-09,
8,3,027765,-1,72,-1,55365853515832E-09,
9,3,46029668,-1,68,-1,10874509573478E-09,
10,3,89282786,-1,64,-9,092815389522E-10,
11,4,32536438,-1,6,-1,09545794657606E-09,
12,4,75791272,-1,56,-7,11310121914721E-10,
13,5,1904457,-1,52,-8,3754514434986E-10,
14,5,62297842,-1,48,-9,58820578489394E-10,
15,6,05552792,-1,44,-8,23362711344089E-10,
16,6,48806696,-1,4,-7,32200078346068E-10,
17,6,92060588,-1,36,-7,5452533110365E-10,
18,7,35313548,-1,32,-5,81934500587522E-10,
19,7,78569202,-1,28,-4,639417738872E-10,
20,8,21822476,-1,24,-3,24334337165055E-10,
21,8,65077624,-1,2,-2,34209096561244E-10,
22,9,08329808,-1,16,-1,94702920452983E-10,
23,9,5158282,-1,12,-1,77692527358886E-10,
24,9,94836984,-1,08,-1,27940325000964E-10,
25,10,38089236,-1,04,-2,4799362563499E-10,
26,10,81343452,-1,0,-1,77138304024993E-10,
27,11,24598146,-0,96,-1,54997792378708E-10,
28,11,6785279,-0,92,-1,6355272691726E-10,
29,12,11106068,-0,88,-1,73614012055623E-10,
30,12,54358378,-0,84,-1,30270905174257E-10,
31,12,97611558,-0,8,-1,59445789904566E-10,
32,13,40863372,-0,76,-1,40502720569202E-10,
33,13,84116162,-0,72,-1,21005427899945E-10,
34,14,27370378,-0,68,-1,0766143532237E-10,
35,14,70623606,-0,64,-9,09921027414384E-11,
36,15,13876582,-0,6,-8,76383410286508E-11,
37,15,5712891,-0,56,-9,44737621466629E-11,
38,16,00383228,-0,52,-2,24190443987027E-10,
39,16,4363487,-0,48,-1,09338316178764E-10,
40,16,8688814,-0,44,-5,28359578311211E-11,
41,17,30142792,-0,4,-1,16273213279783E-10,
42,17,7339475,-0,36,-2,6591351343086E-10,
43,18,16648694,-0,32,2,73558953267639E-11,
44,18,59903138,-0,28,-1,01380237538251E-10,
45,19,03155728,-0,24,-7,2319039645663E-11,
46,19,46410978,-0,2,-4,78053152619395E-11,
47,19,8966306,-0,16,-3,61524143954739E-11,
48,20,32917648,-0,12,-2,08046913030557E-11,
49,20,76170966,-0,08,-1,89430693353643E-11,
50,21,19423812,-0,04,-1,7166712495964E-11,
51,21,62677568,0,0,-1,19513288154849E-11,
52,22,0596174,0,04,-8,35598257253878E-12,
53,22,49215598,0,08,2,21689333557151E-12,
54,22,92469762,0,12,3,14059889205964E-12,
55,23,35724512,0,16,4,33999503002269E-11,
56,23,78976154,0,2,8,02913291408913E-11,
57,24,2223037,0,24,1,21033849609375E-10,
58,24,65483132,0,28,2,18690843212244E-10,
59,25,08737038,0,32,3,61367824552872E-10,
60,25,51990146,0,36,1,43586476042401E-10,
61,25,95243426,0,4,6,12658368481789E-10,
62,26,38496482,0,44,4,07794686907437E-10,
63,26,8174977,0,48,1,64901337029733E-09,
64,27,25004236,0,52,6,37031405403832E-09,
65,27,92366878,0,56,3,01918134937296E-09,
66,28,42959956,0,6,5,52776668882871E-09,
67,29,10324102,0,64,2,26953886794945E-08,
68,29,53578748,0,68,7,35608907120877E-08,
69,29,96832396,0,72,6,56724594705338E-08,
70,30,6004382,0,76,2,00930230676022E-07,
71,30,73561722,0,8,2,11854739973205E-07,
72,30,87076228,0,84,2,22535049942962E-07,
73,31,00594056,0,88,2,33141804528714E-07,
74,31,14110688,0,92,2,8670501706074E-07,
75,31,27627864,0,96,3,22690198117925E-07,
76,31,41143444,1,0,3,41852228302741E-07,
77,31,54660058,1,04,4,17411570197146E-07,
78,31,68175786,1,08,3,98270572077308E-07,
79,31,81693056,1,12,4,26167616751627E-07,
80,31,95209238,1,16,5,10249378748995E-07,
81,32,08725194,1,2,5,27623342350125E-07,
82,32,222434,1,24,5,56662030248845E-07,
83,32,35757058,1,28,5,89872911405109E-07,
84,32,49275256,1,32,5,94438006373821E-07,
85,32,62791506,1,36,6,54092900731484E-07,
86,32,76308394,1,4,6,70139456815377E-07,
87,32,89825082,1,44,6,82147515362885E-07,
88,33,03341742,1,48,7,22834215594048E-07,
89,33,16857328,1,52,7,53434733269387E-07,
90,33,3037504,1,56,7,76028969085019E-07,
91,33,43890474,1,6,8,37311517898343E-07,
92,33,57407812,1,64,8,75353180163074E-07,
93,33,70926488,1,68,9,77488298303797E-07,
94,33,84442838,1,72,9,98196128421114E-07,
95,33,9796093,1,76,9,82142751126958E-07,
96,34,3058111,1,8,1,1724914656952E-06,
97,34,42628162,1,84,1,20323966257274E-06,
98,34,54673692,1,88,1,27306884678546E-06,
99,34,66717828,1,92,1,34091897052713E-06,
100,34,78762166,1,96,1,36579910758883E-06,
101,34,9080605,2,0,1,36784910864662E-06,
