Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-2,0,-1,17820163723081E-05,
2,0,12047568,-1,96,-1,15105067379773E-05,
3,0,2409223,-1,92,-1,12636189442128E-05,
4,0,36134524,-1,88,-1,10215332824737E-05,
5,0,48178982,-1,84,-1,07875093817711E-05,
6,0,60222132,-1,8,-1,0538482456468E-05,
7,0,72266292,-1,76,-1,02980411611497E-05,
8,0,84309764,-1,72,-1,0064133675769E-05,
9,1,0635161,-1,68,-9,81594530458096E-06,
10,1,18399332,-1,64,-9,56567237153649E-06,
11,1,30441476,-1,6,-9,32448165258393E-06,
12,1,42487134,-1,56,-9,06978857528884E-06,
13,1,54528894,-1,52,-8,83289612829685E-06,
14,1,66573132,-1,48,-8,59506690176204E-06,
15,1,78615546,-1,44,-8,34787897474598E-06,
16,1,9066083,-1,4,-8,10527490102686E-06,
17,2,02704118,-1,36,-7,86791133577935E-06,
18,2,14747406,-1,32,-7,62348281568848E-06,
19,2,26791512,-1,28,-7,37713344278745E-06,
20,2,38834208,-1,24,-7,13881490810309E-06,
21,2,50877722,-1,2,-6,89133776177187E-06,
22,2,62921808,-1,16,-6,65333573124371E-06,
23,2,74967202,-1,12,-6,41360020381399E-06,
24,2,8701112,-1,08,-6,16989746049512E-06,
25,2,99057366,-1,04,-5,92431024415419E-06,
26,3,11099038,-1,0,-5,68165341974236E-06,
27,3,23144512,-0,96,-5,44037720828783E-06,
28,3,3518625,-0,92,-5,19576133228838E-06,
29,3,47231646,-0,88,-4,9545124056749E-06,
30,3,59275098,-0,84,-4,71187013317831E-06,
31,3,7132064,-0,8,-4,47172715212218E-06,
32,3,83362948,-0,76,-4,23270648752805E-06,
33,3,95407652,-0,72,-3,98918746213894E-06,
34,4,07451572,-0,68,-3,75096169591416E-06,
35,4,19497402,-0,64,-3,51152448274661E-06,
36,4,31541232,-0,6,-3,27439738612156E-06,
37,4,43586246,-0,56,-3,03927481581923E-06,
38,4,55628944,-0,52,-2,80428139376454E-06,
39,4,67673258,-0,48,-2,57205829257146E-06,
40,4,79715436,-0,44,-2,34121398534626E-06,
41,4,91761024,-0,4,-2,11168662644923E-06,
42,5,03805694,-0,36,-1,88120247912593E-06,
43,5,1585047,-0,32,-1,65610072144773E-06,
44,5,2789266,-0,28,-1,43907891470008E-06,
45,5,39937726,-0,24,-1,22406527225394E-06,
46,5,51982174,-0,2,-1,01090699899942E-06,
47,5,74423028,-0,16,-7,99490408098791E-07,
48,5,87941926,-0,12,-5,92406422583736E-07,
49,6,01460024,-0,08,-3,91377625419409E-07,
50,6,1497795,-0,04,-1,93950654647779E-07,
51,6,42643428,0,0,1,97786675926181E-10,
52,7,0628798,0,04,1,89286197382899E-07,
53,7,19806394,0,08,3,74614501197357E-07,
54,7,33322282,0,12,5,57248654331488E-07,
55,7,46839024,0,16,7,33684714759875E-07,
56,7,60353588,0,2,9,12500695449125E-07,
57,7,92973196,0,24,1,08501808426809E-06,
58,8,05020752,0,28,1,25639053294435E-06,
59,8,17065158,0,32,1,42489261634182E-06,
60,8,29110226,0,36,1,58885268319864E-06,
61,8,41155774,0,4,1,7545808077557E-06,
62,8,5319914,0,44,1,91609979083296E-06,
63,8,6524349,0,48,2,06945878744591E-06,
64,8,772845,0,52,2,2289932530839E-06,
65,8,89330642,0,56,2,39368273469154E-06,
66,9,01373784,0,6,2,55666418524925E-06,
67,9,13415982,0,64,2,70085183728952E-06,
68,9,2546036,0,68,2,85670830635354E-06,
69,9,37502774,0,72,3,00859937851783E-06,
70,9,49547744,0,76,3,16853220283519E-06,
71,9,61591264,0,8,3,32549097947776E-06,
72,9,73634676,0,84,3,47866080119275E-06,
73,9,85678404,0,88,3,61995262210257E-06,
74,9,97724796,0,92,3,78431650460698E-06,
75,10,0976756,0,96,3,93969457945786E-06,
76,10,21811752,1,0,4,09465064876713E-06,
77,10,33853936,1,04,4,23458732257131E-06,
78,10,4589871,1,08,4,38675488112494E-06,
79,10,57941986,1,12,4,54651217296487E-06,
80,10,6998629,1,16,4,69988663098775E-06,
81,10,8202922,1,2,4,86458884552121E-06,
82,10,94072944,1,24,5,01569593325257E-06,
83,11,06117058,1,28,5,18290016771061E-06,
84,11,18161852,1,32,5,33247111889068E-06,
85,11,3020429,1,36,5,47737636225065E-06,
86,11,42248418,1,4,5,62091736355796E-06,
87,11,54290502,1,44,5,77161154069472E-06,
88,11,6633459,1,48,5,9182621043874E-06,
89,11,78377314,1,52,6,06786761636613E-06,
90,11,90423172,1,56,6,22251354798209E-06,
91,12,02465096,1,6,6,3682591644465E-06,
92,12,1451271,1,64,6,51884874969255E-06,
93,12,26556002,1,68,6,68026495986851E-06,
94,12,38598504,1,72,6,82895006320905E-06,
95,12,50643372,1,76,6,97748964739731E-06,
96,12,62687728,1,8,7,14642646926222E-06,
97,12,74733434,1,84,7,31705949874595E-06,
98,12,8677606,1,88,7,47226204111939E-06,
99,12,98819646,1,92,7,6303167588776E-06,
100,13,1086201,1,96,7,7650302046095E-06,
101,13,22907226,2,0,7,91862476035021E-06,
