Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-2,0,-0,000356495031155646,
2,0,12050234,-1,96,-0,000349337584339082,
3,0,2409494,-1,92,-0,00034222740214318,
4,0,36138256,-1,88,-0,000335112563334405,
5,0,4818358,-1,84,-0,00032793718855828,
6,0,60226036,-1,8,-0,000320816296152771,
7,0,72270636,-1,76,-0,000313695869408548,
8,0,84314042,-1,72,-0,000306552625261247,
9,0,96358224,-1,68,-0,000299425912089646,
10,1,08403794,-1,64,-0,000292288023047149,
11,1,20448218,-1,6,-0,000285129179246724,
12,1,32492038,-1,56,-0,000277987564913929,
13,1,4453638,-1,52,-0,000270862248726189,
14,1,56578672,-1,48,-0,000263734138570726,
15,1,68624972,-1,44,-0,000256605329923332,
16,1,80668462,-1,4,-0,000249472563154995,
17,1,92711392,-1,36,-0,000242343754507601,
18,2,04754258,-1,32,-0,00023519981186837,
19,2,16798502,-1,28,-0,000228065648116171,
20,2,28840958,-1,24,-0,00022094848100096,
21,2,40886182,-1,2,-0,000213808729313314,
22,2,5293008,-1,16,-0,000206684344448149,
23,2,64976152,-1,12,-0,000199563452042639,
24,2,77019374,-1,08,-0,000192429753951728,
25,2,89062578,-1,04,-0,000185291399247944,
26,3,01106222,-1,0,-0,000178162124939263,
27,3,13151302,-0,96,-0,000171025400049984,
28,3,25195964,-0,92,-0,000163902412168682,
29,3,37239736,-0,88,-0,000156771042384207,
30,3,49284872,-0,84,-0,000149641302414238,
31,3,61327748,-0,8,-0,000142524600960314,
32,3,7337343,-0,76,-0,000135392649099231,
33,3,85415736,-0,72,-0,00012826663441956,
34,3,97460246,-0,68,-0,000121157616376877,
35,4,09503056,-0,64,-0,000114014255814254,
36,4,21547936,-0,6,-0,000106882536783814,
37,4,43189474,-0,56,-9,97597962850705E-05,
38,4,55235738,-0,52,-9,26292996155098E-05,
39,4,67279818,-0,48,-8,54948157211766E-05,
40,4,79322212,-0,44,-7,83738360041752E-05,
41,4,9136586,-0,4,-7,12470064172521E-05,
42,5,03409688,-0,36,-6,41195656498894E-05,
43,5,15454608,-0,32,-5,6998644140549E-05,
44,5,27496888,-0,28,-4,98738518217579E-05,
45,5,39540292,-0,24,-4,2748884879984E-05,
46,5,51586528,-0,2,-3,5625635064207E-05,
47,5,63628864,-0,16,-2,849823795259E-05,
48,5,75672678,-0,12,-2,137097180821E-05,
49,5,8771499,-0,08,-1,42496137414128E-05,
50,6,09756194,-0,04,-7,11982647771947E-06,
51,6,35950988,0,0,3,49052697856678E-09,
52,6,89197962,0,04,7,11456414137501E-06,
53,7,19880176,0,08,1,42440549097955E-05,
54,7,31926692,0,12,2,13696039281785E-05,
55,7,43973018,0,16,2,84953566733748E-05,
56,7,56014892,0,2,3,56138625647873E-05,
57,7,68060874,0,24,4,27414779551327E-05,
58,7,8010289,0,28,4,98635781696066E-05,
59,7,92148472,0,32,5,6988064898178E-05,
60,8,0418965,0,36,6,41155493212864E-05,
61,8,16233734,0,4,7,12301771272905E-05,
62,8,28276496,0,44,7,83600262366235E-05,
63,8,40322626,0,48,8,54857862577774E-05,
64,8,52366124,0,52,9,26020366023295E-05,
65,8,64407326,0,56,9,97183087747544E-05,
66,8,94686744,0,6,0,000106849940493703,
67,9,06735454,0,64,0,000113975489512086,
68,9,18781062,0,68,0,000121100689284503,
69,9,30823202,0,72,0,000128209008835256,
70,9,42867754,0,76,0,00013533653691411,
71,9,54910674,0,8,0,000142464879900217,
72,9,66954934,0,84,0,000149577623233199,
73,9,78997638,0,88,0,000156696070916951,
74,9,9104161,0,92,0,000163812539540231,
75,10,03085206,0,96,0,000170937972143292,
76,10,15129556,1,0,0,000178060377947986,
77,10,2717179,1,04,0,000185179407708347,
78,10,39214366,1,08,0,00019229797180742,
79,10,51259646,1,12,0,000199422356672585,
80,10,63302298,1,16,0,000206551398150623,
81,10,75346482,1,2,0,000213666004128754,
82,10,87388144,1,24,0,000220784451812506,
83,10,99432696,1,28,0,000227900105528533,
84,11,11475508,1,32,0,000235019135288894,
85,11,23519764,1,36,0,000242136302404106,
86,11,355639,1,4,0,000249260454438627,
87,11,47609126,1,44,0,000256380415521562,
88,11,5965222,1,48,0,000263504683971405,
89,11,71696504,1,52,0,000270637450739741,
90,11,83740734,1,56,0,000277749611996114,
91,11,95786666,1,6,0,000284895533695817,
92,12,07830054,1,64,0,000291997101157904,
93,12,19874812,1,68,0,000299109844490886,
94,12,3191816,1,72,0,000306235393509269,
95,12,43962766,1,76,0,000313334865495563,
96,12,56003912,1,8,0,000320436549372971,
97,12,68047588,1,84,0,000327584333717823,
98,12,80092668,1,88,0,000334674376063049,
99,12,92136224,1,92,0,00034181890077889,
100,13,04178898,1,96,0,000348923960700631,
101,13,16222964,2,0,0,00035603903234005,
