Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-2,0,-7,42159897981765E-08,
2,0,43257926,-1,96,-7,60186935622187E-08,
3,0,86512734,-1,92,-7,47403703371674E-08,
4,1,2976585,-1,88,-7,36190486350097E-08,
5,1,73020156,-1,84,-7,14034911197814E-08,
6,2,16272068,-1,8,-6,96004747169354E-08,
7,2,5952456,-1,76,-6,75206308642373E-08,
8,3,02779776,-1,72,-6,45290754164307E-08,
9,3,46032946,-1,68,-6,25574614332436E-08,
10,3,89284336,-1,64,-5,90354716223374E-08,
11,4,32538184,-1,6,-5,69908138459141E-08,
12,4,75792942,-1,56,-5,37529558641836E-08,
13,5,1904674,-1,52,-5,21640259876222E-08,
14,5,62300156,-1,48,-4,9363706011718E-08,
15,6,05552964,-1,44,-4,54891022627635E-08,
16,6,48807496,-1,4,-4,33007443234601E-08,
17,6,92060092,-1,36,-4,00938660050087E-08,
18,7,35313692,-1,32,-3,59600846877584E-08,
19,7,78566392,-1,28,-3,37370096303857E-08,
20,8,2182044,-1,24,-3,14594927885992E-08,
21,8,65073032,-1,2,-2,81824554804189E-08,
22,9,08328264,-1,16,-2,53274805572801E-08,
23,9,51580216,-1,12,-2,32964936230928E-08,
24,9,94834034,-1,08,-2,0925682520101E-08,
25,10,3808739,-1,04,-1,80785804104744E-08,
26,10,81341196,-1,0,-1,616221823042E-08,
27,11,24594262,-0,96,-1,42097178468248E-08,
28,11,67846906,-0,92,-1,22597469953689E-08,
29,12,11100034,-0,88,-1,07129949356022E-08,
30,12,61692882,-0,84,-8,91442653028207E-09,
31,13,29056408,-0,8,-7,85463782904117E-09,
32,13,79649662,-0,76,-6,8215229021007E-09,
33,14,22905234,-0,72,-5,70970826174744E-09,
34,14,6615748,-0,68,-4,74072692213667E-09,
35,15,09411436,-0,64,-3,88078547075565E-09,
36,15,5266586,-0,6,-3,21098525546404E-09,
37,15,95919768,-0,56,-2,37574226957804E-09,
38,16,39171522,-0,52,-1,93790583580267E-09,
39,16,82424694,-0,48,-1,75735692664603E-09,
40,17,25678696,-0,44,-2,03168326606828E-09,
41,17,6893252,-0,4,6,54296172797331E-10,
42,18,12184824,-0,36,-1,03058539480116E-09,
43,18,55439068,-0,32,-1,10439657419192E-09,
44,18,98693526,-0,28,-6,67768063067342E-10,
45,19,41946896,-0,24,-4,85840701003326E-10,
46,19,85200702,-0,2,-3,73987063539971E-10,
47,20,28453942,-0,16,-2,71654698735802E-10,
48,20,71706832,-0,12,-2,07379002858943E-10,
49,21,14960074,-0,08,-1,33411504066316E-10,
50,21,58213296,-0,04,-9,84243797574891E-11,
51,22,01468228,0,0,-2,78106426776503E-11,
52,22,44752682,0,04,1,04677155832178E-10,
53,22,88005536,0,08,3,11558778776089E-10,
54,23,31259644,0,12,5,90063109484618E-10,
55,23,74512458,0,16,8,79623485161574E-10,
56,24,17765058,0,2,1,17645981845271E-09,
57,24,61019428,0,24,1,59475632699468E-09,
58,25,0427275,0,28,2,14609485738038E-09,
59,25,47525764,0,32,2,85285750578623E-09,
60,25,90777992,0,36,3,71942121546454E-09,
61,26,3403068,0,4,4,76445904951106E-09,
62,26,77284128,0,44,5,76490322146128E-09,
63,27,20538768,0,48,7,34725347228959E-09,
64,27,63790824,0,52,8,84453754679271E-09,
65,28,07043838,0,56,9,86736381491937E-09,
66,28,74408514,0,6,1,25599655120823E-08,
67,29,17664316,0,64,1,56777417714693E-08,
68,29,6091733,0,68,1,81124875098249E-08,
69,30,04170748,0,72,2,07088390880017E-08,
70,30,47425412,0,76,2,3640879476261E-08,
71,30,90676982,0,8,2,66302180307321E-08,
72,31,33930838,0,84,2,92083939257282E-08,
73,31,77184594,0,88,3,22823865417377E-08,
74,32,20439074,0,92,3,53734463942601E-08,
75,32,63692826,0,96,3,89781433796088E-08,
76,33,069464,1,0,4,28837836352614E-08,
77,33,5019873,1,04,4,60107543176491E-08,
78,33,9345201,1,08,5,02815851177729E-08,
79,34,36705288,1,12,5,28675911937171E-08,
80,34,79959194,1,16,5,6965717476487E-08,
81,35,23214954,1,2,6,16835080791134E-08,
82,35,66467116,1,24,6,32580423598483E-08,
83,36,09720296,1,28,6,68646507051562E-08,
84,36,5297297,1,32,6,93657398187497E-08,
85,36,96226828,1,36,7,24862019296779E-08,
86,37,39479166,1,4,7,62678880050771E-08,
87,37,82732702,1,44,8,01428043928354E-08,
88,38,25985978,1,48,8,27192749852657E-08,
89,38,69239352,1,52,8,51315320460344E-08,
90,39,12493532,1,56,8,81434019106564E-08,
91,39,55747988,1,6,8,99054697356405E-08,
92,39,9900102,1,64,9,34333002078347E-08,
93,40,42254754,1,68,9,53462091501933E-08,
94,40,85509628,1,72,9,8718707874923E-08,
95,41,28764922,1,76,9,99877016738537E-08,
96,41,91976774,1,8,1,01722548606631E-07,
97,42,05495922,1,84,1,02422291092807E-07,
98,42,19011752,1,88,1,04509240372863E-07,
99,42,32528808,1,92,1,06201241578674E-07,
100,42,46046906,1,96,1,07387450043461E-07,
101,42,59562884,2,0,1,08105837171024E-07,
