,tcps,thickness,thicknesserror,tcpserror
G10_A1,0.0,6.7e-09,3.3e-10,0.0
zero,11.003958901649982,0.0,0.0,21.058363847797338
D2,368.02504299394445,4.23e-09,4.6e-10,70.81392354446922
D9 Area 1,374.31508117780413,8.935509295988247e-09,1.3226966576479678e-11,42.03306304625494
N8 Area 1,966.3780404804371,1.4763913340391209e-08,1.3226966576479678e-11,84.90873985063774
C10 Area 1,3442.891921638274,5.472002590182196e-08,2.6796075100419003e-10,113.44483862190782
B15 Area 1,3654.2867566889095,5.763391e-08,2e-10,90.84291901726488
C10 Area 2,4231.235324337281,6.621983698283349e-08,1.3301237713190631e-11,55.28250968062366
H12 Area 1,4611.299795553835,7.019819680052666e-08,7.352929558938202e-12,0.0
N15 Area 1,8349.516019987072,1.1991117601449273e-07,1.5516981225296182e-10,153.73921216662347
N10_A1,9860.383075118414,1.512e-07,3.8e-10,36.396168394455344
C15 Area 2,9930.440673185625,1.5232782994124567e-07,0.0,0.0
H9 Area 1,15793.86858678206,2.3437525949463097e-07,6.465786941306329e-10,131.9678322394102
C15 Area 1,16529.544531937554,2.507745896825397e-07,0.0,225.26877861032608
A10 Area 1,22056.530291544088,6.77603162563611e-07,2e-10,143.82205135445474
C7,60205.07489726178,1.512e-07,3e-10,123.59511059572833
