No.;Distance [µm];Name;Time [ms];Z Pos;X Pos;Y Pos;Blue(1);Green(1);Red(1)
1;0;Frozen;28605099,15;0;0;0;178;23;10
2;0,034;Frozen;28605099,15;0;0;0;178;23;10
3;0,068;Frozen;28605099,15;0;0;0;180;22;10
4;0,102;Frozen;28605099,15;0;0;0;175;23;11
5;0,136;Frozen;28605099,15;0;0;0;168;21;11
6;0,17;Frozen;28605099,15;0;0;0;171;22;11
7;0,204;Frozen;28605099,15;0;0;0;171;21;11
8;0,238;Frozen;28605099,15;0;0;0;176;23;10
9;0,273;Frozen;28605099,15;0;0;0;180;21;10
10;0,307;Frozen;28605099,15;0;0;0;176;22;10
11;0,341;Frozen;28605099,15;0;0;0;171;22;10
12;0,375;Frozen;28605099,15;0;0;0;173;22;11
13;0,409;Frozen;28605099,15;0;0;0;173;22;11
14;0,443;Frozen;28605099,15;0;0;0;171;22;11
15;0,477;Frozen;28605099,15;0;0;0;168;22;11
16;0,511;Frozen;28605099,15;0;0;0;168;22;10
17;0,545;Frozen;28605099,15;0;0;0;163;22;11
18;0,579;Frozen;28605099,15;0;0;0;168;21;11
19;0,613;Frozen;28605099,15;0;0;0;173;21;11
20;0,647;Frozen;28605099,15;0;0;0;171;21;11
21;0,681;Frozen;28605099,15;0;0;0;168;22;11
22;0,715;Frozen;28605099,15;0;0;0;168;22;11
23;0,749;Frozen;28605099,15;0;0;0;168;23;11
24;0,784;Frozen;28605099,15;0;0;0;170;23;10
25;0,818;Frozen;28605099,15;0;0;0;170;23;10
26;0,852;Frozen;28605099,15;0;0;0;168;22;11
27;0,886;Frozen;28605099,15;0;0;0;165;22;10
28;0,92;Frozen;28605099,15;0;0;0;160;22;10
29;0,954;Frozen;28605099,15;0;0;0;155;22;10
30;0,988;Frozen;28605099,15;0;0;0;160;22;10
31;1 022;Frozen;28605099,15;0;0;0;163;22;11
32;1 056;Frozen;28605099,15;0;0;0;170;22;10
33;1,09;Frozen;28605099,15;0;0;0;171;22;11
34;1 124;Frozen;28605099,15;0;0;0;173;22;11
35;1 158;Frozen;28605099,15;0;0;0;175;22;11
36;1 192;Frozen;28605099,15;0;0;0;171;22;11
37;1 226;Frozen;28605099,15;0;0;0;166;22;11
38;1,26;Frozen;28605099,15;0;0;0;166;23;11
39;1 295;Frozen;28605099,15;0;0;0;168;23;11
40;1 329;Frozen;28605099,15;0;0;0;168;23;11
41;1 363;Frozen;28605099,15;0;0;0;166;23;10
42;1 397;Frozen;28605099,15;0;0;0;171;22;10
43;1 431;Frozen;28605099,15;0;0;0;175;22;11
44;1 465;Frozen;28605099,15;0;0;0;170;22;12
45;1 499;Frozen;28605099,15;0;0;0;163;20;11
46;1 533;Frozen;28605099,15;0;0;0;163;21;10
47;1 567;Frozen;28605099,15;0;0;0;163;23;10
48;1 601;Frozen;28605099,15;0;0;0;170;23;10
49;1 635;Frozen;28605099,15;0;0;0;171;23;11
50;1 669;Frozen;28605099,15;0;0;0;168;23;11
51;1 703;Frozen;28605099,15;0;0;0;163;23;11
52;1 737;Frozen;28605099,15;0;0;0;171;22;11
53;1 771;Frozen;28605099,15;0;0;0;180;22;11
54;1 806;Frozen;28605099,15;0;0;0;175;24;10
55;1,84;Frozen;28605099,15;0;0;0;170;22;10
56;1 874;Frozen;28605099,15;0;0;0;168;21;10
57;1 908;Frozen;28605099,15;0;0;0;166;23;10
58;1 942;Frozen;28605099,15;0;0;0;166;23;11
59;1 976;Frozen;28605099,15;0;0;0;166;22;11
60;2,01;Frozen;28605099,15;0;0;0;171;23;10
61;2 044;Frozen;28605099,15;0;0;0;176;24;10
62;2 078;Frozen;28605099,15;0;0;0;173;24;10
63;2 112;Frozen;28605099,15;0;0;0;166;22;10
64;2 146;Frozen;28605099,15;0;0;0;168;23;9
65;2,18;Frozen;28605099,15;0;0;0;170;23;10
66;2 214;Frozen;28605099,15;0;0;0;162;23;11
67;2 248;Frozen;28605099,15;0;0;0;154;22;11
68;2 282;Frozen;28605099,15;0;0;0;157;23;11
69;2 317;Frozen;28605099,15;0;0;0;158;22;11
70;2 351;Frozen;28605099,15;0;0;0;163;22;10
71;2 385;Frozen;28605099,15;0;0;0;170;23;11
72;2 419;Frozen;28605099,15;0;0;0;166;22;11
73;2 453;Frozen;28605099,15;0;0;0;163;21;11
74;2 487;Frozen;28605099,15;0;0;0;166;23;11
75;2 521;Frozen;28605099,15;0;0;0;168;22;10
76;2 555;Frozen;28605099,15;0;0;0;173;23;10
77;2 589;Frozen;28605099,15;0;0;0;178;21;10
