No.;Distance [µm];Name;Time [ms];Z Pos;X Pos;Y Pos;Blue(1);Green(1);Red(1)
1;0;Captured;1194628506;0;0;0;58;41;16
2;0,034;Captured;1194628506;0;0;0;56;43;16
3;0,068;Captured;1194628506;0;0;0;58;42;16
4;0,102;Captured;1194628506;0;0;0;60;44;16
5;0,136;Captured;1194628506;0;0;0;61;45;15
6;0,17;Captured;1194628506;0;0;0;61;45;15
7;0,204;Captured;1194628506;0;0;0;60;44;15
8;0,238;Captured;1194628506;0;0;0;60;41;14
9;0,273;Captured;1194628506;0;0;0;60;42;14
10;0,307;Captured;1194628506;0;0;0;59;43;15
11;0,341;Captured;1194628506;0;0;0;61;46;16
12;0,375;Captured;1194628506;0;0;0;63;44;16
13;0,409;Captured;1194628506;0;0;0;63;45;16
14;0,443;Captured;1194628506;0;0;0;62;46;16
15;0,477;Captured;1194628506;0;0;0;62;45;16
16;0,511;Captured;1194628506;0;0;0;60;46;16
17;0,545;Captured;1194628506;0;0;0;62;46;16
18;0,579;Captured;1194628506;0;0;0;64;46;15
19;0,613;Captured;1194628506;0;0;0;62;44;15
20;0,647;Captured;1194628506;0;0;0;59;46;16
21;0,681;Captured;1194628506;0;0;0;60;46;16
22;0,715;Captured;1194628506;0;0;0;60;44;16
23;0,749;Captured;1194628506;0;0;0;62;47;16
24;0,784;Captured;1194628506;0;0;0;64;47;16
25;0,818;Captured;1194628506;0;0;0;63;46;16
26;0,852;Captured;1194628506;0;0;0;62;46;16
27;0,886;Captured;1194628506;0;0;0;61;46;15
28;0,92;Captured;1194628506;0;0;0;60;46;16
29;0,954;Captured;1194628506;0;0;0;61;43;16
30;0,988;Captured;1194628506;0;0;0;59;46;16
31;1 022;Captured;1194628506;0;0;0;61;46;16
32;1 056;Captured;1194628506;0;0;0;62;46;16
33;1,09;Captured;1194628506;0;0;0;62;44;16
34;1 124;Captured;1194628506;0;0;0;61;45;16
35;1 158;Captured;1194628506;0;0;0;63;46;15
36;1 192;Captured;1194628506;0;0;0;64;46;16
37;1 226;Captured;1194628506;0;0;0;61;45;17
38;1,26;Captured;1194628506;0;0;0;58;45;17
39;1 295;Captured;1194628506;0;0;0;61;46;16
40;1 329;Captured;1194628506;0;0;0;63;46;16
41;1 363;Captured;1194628506;0;0;0;62;46;16
42;1 397;Captured;1194628506;0;0;0;62;44;16
43;1 431;Captured;1194628506;0;0;0;62;43;16
44;1 465;Captured;1194628506;0;0;0;61;43;16
45;1 499;Captured;1194628506;0;0;0;61;47;16
46;1 533;Captured;1194628506;0;0;0;60;44;16
47;1 567;Captured;1194628506;0;0;0;59;45;16
48;1 601;Captured;1194628506;0;0;0;58;46;16
49;1 635;Captured;1194628506;0;0;0;60;46;16
50;1 669;Captured;1194628506;0;0;0;61;45;16
51;1 703;Captured;1194628506;0;0;0;62;43;16
52;1 737;Captured;1194628506;0;0;0;62;44;16
53;1 771;Captured;1194628506;0;0;0;62;44;16
54;1 806;Captured;1194628506;0;0;0;62;45;15
55;1,84;Captured;1194628506;0;0;0;62;46;15
56;1 874;Captured;1194628506;0;0;0;59;46;16
57;1 908;Captured;1194628506;0;0;0;58;46;16
58;1 942;Captured;1194628506;0;0;0;60;47;16
59;1 976;Captured;1194628506;0;0;0;61;45;16
60;2,01;Captured;1194628506;0;0;0;61;43;16
61;2 044;Captured;1194628506;0;0;0;61;45;16
62;2 078;Captured;1194628506;0;0;0;61;44;15
63;2 112;Captured;1194628506;0;0;0;60;47;15
64;2 146;Captured;1194628506;0;0;0;60;47;14
65;2,18;Captured;1194628506;0;0;0;60;46;15
66;2 214;Captured;1194628506;0;0;0;60;45;15
67;2 248;Captured;1194628506;0;0;0;60;46;15
68;2 282;Captured;1194628506;0;0;0;62;46;15
69;2 317;Captured;1194628506;0;0;0;63;46;16
70;2 351;Captured;1194628506;0;0;0;61;46;16
71;2 385;Captured;1194628506;0;0;0;59;46;15
72;2 419;Captured;1194628506;0;0;0;60;47;15
73;2 453;Captured;1194628506;0;0;0;60;46;15
74;2 487;Captured;1194628506;0;0;0;60;46;16
75;2 521;Captured;1194628506;0;0;0;60;46;16
76;2 555;Captured;1194628506;0;0;0;61;46;16
77;2 589;Captured;1194628506;0;0;0;61;44;15
78;2 623;Captured;1194628506;0;0;0;61;45;14
79;2 657;Captured;1194628506;0;0;0;61;45;15
80;2 691;Captured;1194628506;0;0;0;61;45;16
81;2 725;Captured;1194628506;0;0;0;61;45;16
82;2 759;Captured;1194628506;0;0;0;61;45;15
83;2 793;Captured;1194628506;0;0;0;59;45;16
84;2 828;Captured;1194628506;0;0;0;59;42;16
85;2 862;Captured;1194628506;0;0;0;59;42;16
86;2 896;Captured;1194628506;0;0;0;61;42;16
87;2,93;Captured;1194628506;0;0;0;62;44;16
88;2 964;Captured;1194628506;0;0;0;62;46;15
89;2 998;Captured;1194628506;0;0;0;62;46;16
90;3 032;Captured;1194628506;0;0;0;61;46;16
91;3 066;Captured;1194628506;0;0;0;61;43;15
92;3,1;Captured;1194628506;0;0;0;61;45;15
93;3 134;Captured;1194628506;0;0;0;61;46;15
94;3 168;Captured;1194628506;0;0;0;61;46;16
95;3 202;Captured;1194628506;0;0;0;60;46;16
